"1998","Num studies:1","","2000","Num studies:1","","2001","Num studies:1","","2002","Num studies:2","","2003","Num studies:5","","2004","Num studies:4","","2005","Num studies:8","","2006","Num studies:5","","2007","Num studies:3","","2008","Num studies:11","","2009","Num studies:13","","2010","Num studies:14","","2011","Num studies:12","","2012","Num studies:18","","2013","Num studies:17","","2014","Num studies:19","","2015","Num studies:14","","2016","Num studies:30","","2017","Num studies:32","","2018","Num studies:21","","2019","Num studies:35","","2020","Num studies:20","","2021","Num studies:2","","No Start Date","Num studies:4",""
"trajectory",1,"1.3333333333333333%","with",7,"1.7587939698492463%","this",5,"1.5873015873015872%","disease",10,"1.4652757654786053%","for",12,"1.2135676386867864%","for",9,"1.1925800572767509%","will",19,"1.0576128855523557%","a",12,"0.973936823833178%","for",25,"1.2802247978655172%","this",27,"1.179224467301086%","a",45,"1.4462927474131306%","with",31,"1.3747713713652254%","ad",45,"1.1916951034971017%","be",64,"0.8258106290094313%","disease",37,"1.662258693636026%","will",60,"0.9152176886103834%","a",34,"1.5616339231880791%","is",119,"1.2706957327174309%","be",101,"1.0764405601122262%","be",98,"1.2435362353909807%","be",158,"0.8217901781030922%","study",76,"1.5319599044119872%","disease",4,"2.4435358255451716%","patients",18,"0.9440846983372466%"
"patients",1,"1.3333333333333333%","for",6,"1.5075376884422111%","to",5,"1.5873015873015872%","a",10,"1.6270646189510287%","with",12,"1.2387028062946202%","study",8,"1.9013624924064914%","patients",18,"0.8645698771149833%","is",11,"1.2243293291837563%","that",25,"1.0264583087591868%","ad",27,"1.114086776250423%","is",36,"1.2818729055781743%","this",29,"1.671911757903753%","patients",44,"1.1754926367265492%","for",56,"0.9303986231016156%","study",33,"1.5610816481086038%","for",58,"1.0599990615086996%","patients",32,"1.9035730498746701%","for",111,"0.7500112048638936%","ad",94,"1.0504208830871926%","study",87,"1.2123847096929492%","for",153,"0.7237778230520723%","for",72,"0.9269260758157051%","study",3,"1.4018691588785046%","be",18,"1.0024015227725507%"
"within",1,"1.3333333333333333%","programs",5,"1.256281407035176%","with",5,"1.5873015873015872%","alzheimer",9,"1.3252197430696415%","ad",10,"0.8103808722816292%","is",7,"1.8013624924064915%","alzheimer",17,"2.4225608888681927%","disease",10,"1.0228328660733361%","therapy",23,"0.36369386464263126%","study",23,"1.0586557536710013%","patients",32,"0.7412826632378369%","study",25,"1.398872629873932%","cognitive",40,"0.880508125099213%","is",51,"1.4827542797449516%","patients",33,"1.5895748399752068%","ad",52,"0.751529874954879%","this",28,"1.752089548258708%","ad",98,"0.8870513826609268%","patients",81,"1.1607965392796278%","is",84,"0.9656486468698064%","study",135,"1.1274379787985926%","with",69,"1.438496405524022%","movement",3,"1.4018691588785046%","alzheimer",17,"0.9022786782703569%"
"national",1,"1.3333333333333333%","care",5,"1.256281407035176%","caregivers",5,"1.5873015873015872%","this",7,"1.0451076982517145%","caregivers",10,"0.5079899074852818%","ad",7,"1.0428794584743555%","disease",17,"2.4313759090598626%","ad",9,"0.6582776921759972%","dementia",22,"0.9790199785884086%","patients",22,"1.178629478113079%","this",32,"1.0601286748483096%","learning",25,"0.256568144499179%","be",39,"0.8890729954239176%","patients",50,"0.8359027027283452%","that",29,"0.6391876401498605%","patients",51,"1.3567200901416705%","ad",27,"0.9316383334899551%","study",89,"1.0727591026408576%","this",78,"1.0995690786497696%","cognitive",66,"0.6881841299479016%","cognitive",134,"0.9495526246578988%","patients",52,"0.9732526388443521%","during",3,"1.4018691588785046%","disease",17,"0.8816770687208548%"
"system",1,"1.3333333333333333%","services",5,"1.256281407035176%","at",5,"1.5873015873015872%","is",7,"1.109823239640684%","alzheimer",9,"1.3513711075808075%","each",7,"0.574251497005988%","for",16,"1.084545188404863%","with",9,"1.127572356008793%","this",18,"0.9808491600188488%","alzheimer",20,"1.4210442350968762%","disease",31,"1.030299418966678%","disease",22,"1.3157783586047125%","for",35,"0.7893083580756864%","disease",46,"1.0797625227334446%","alzheimer",27,"1.3594811604444665%","be",49,"0.6114089637520297%","for",24,"0.8459535609404052%","on",89,"0.6298305664122547%","study",66,"1.1474721112054072%","at",66,"0.6893020569531363%","dementia",111,"0.5529923241665093%","that",47,"0.6055502333184396%","memories",3,"1.4018691588785046%","study",16,"0.8604726582034672%"
"their",1,"1.3333333333333333%","two",5,"1.256281407035176%","will",5,"1.5873015873015872%","e",6,"0.8403361344537815%","disease",9,"0.8287230239571141%","brain",6,"0.6%","ad",16,"0.8854971049082314%","this",9,"1.140375672677492%","group",18,"0.9352774130713376%","treatment",20,"0.984021992074809%","study",30,"1.1456419210577946%","alzheimer",20,"1.0796614485508047%","study",34,"1.0527429480001276%","as",44,"0.6929217459516614%","be",23,"0.7252409475310286%","study",49,"1.2818225476075704%","as",22,"0.8829902530250572%","patients",86,"0.7960101092663828%","disease",63,"0.8419689507619161%","this",51,"0.6030310327574302%","on",104,"0.5618787531006716%","this",46,"1.0502540390512842%","patients",3,"1.4018691588785046%","ad",16,"0.6688963210702341%"
"recent",1,"1.3333333333333333%","site",5,"1.256281407035176%","be",5,"1.5873015873015872%","down",6,"0.8403361344537815%","study",9,"0.6507749609515799%","or",6,"0.9428794584743556%","be",16,"1.1613036171230373%","memory",9,"0.9425055711469792%","music",18,"0.2846299810246679%","will",19,"0.6709646835340326%","for",28,"0.8952676420680569%","be",19,"0.6273885206776465%","as",31,"0.7734331849004713%","study",39,"0.8612881561434955%","are",23,"0.8039574165140406%","or",46,"0.5879101048560617%","study",18,"1.3588036724017907%","as",79,"0.47665436506503195%","for",62,"0.6904325296008363%","patients",49,"0.6832471652976339%","as",102,"0.6341595228939079%","disease",44,"1.0480774242416158%","is",3,"1.4018691588785046%","treatment",15,"1.0835343274618046%"
"temporal",1,"1.3333333333333333%","on",5,"1.256281407035176%","determine",4,"1.2698412698412698%","syndrome",6,"0.8403361344537815%","that",9,"0.7430327680397767%","on",6,"0.474251497005988%","this",15,"1.378611554987923%","patients",8,"1.352845016522899%","by",16,"0.7995544885447425%","be",16,"0.42568504862762474%","are",28,"0.5764671538313438%","as",17,"0.6188636534524026%","disease",29,"0.750302896570158%","alzheimer",36,"0.8396143566926811%","for",21,"0.7173548271358117%","cognitive",45,"0.9466944352704836%","treatment",18,"0.46827964781917064%","that",78,"0.567279446979737%","alzheimer",61,"0.8192902770646251%","an",49,"0.4891253845745764%","this",99,"0.7853216569868188%","as",41,"0.441189000750958%","this",2,"0.9345794392523364%","donepezil",15,"0.31806615776081426%"
"trends",1,"1.3333333333333333%","this",4,"1.0050251256281406%","effects",4,"1.2698412698412698%","at",6,"0.8726939051482662%","who",8,"0.49116904962153074%","their",6,"0.4491017964071856%","sleep",13,"0.4603399433427762%","effects",8,"0.5699333702016303%","is",15,"0.6796443407417403%","are",15,"0.40781879127206344%","memory",26,"0.6476013849533007%","ad",16,"0.7514480842521764%","alzheimer",23,"0.6672038337659667%","are",35,"0.588709647126169%","cognitive",21,"1.0368686764922306%","alzheimer",43,"0.818643027652708%","dementia",18,"0.4377542225182395%","this",75,"0.9257529689888739%","that",58,"0.599484224775721%","that",47,"0.540465496489955%","by",94,"0.5250015961936493%","at",39,"0.4666446118043959%","movements",2,"0.9345794392523364%","j",14,"0.2968617472434266%"
"remains",1,"1.3333333333333333%","a",4,"1.0050251256281406%","community",4,"1.2698412698412698%","which",5,"0.7649956534337874%","participants",8,"0.6876847290640393%","couple",6,"0.4491017964071856%","we",11,"0.4991047285711613%","cognitive",7,"0.6956771147713869%","changes",15,"0.23719165085388993%","for",15,"0.6540195467830193%","alzheimer",25,"0.898866868263866%","memory",16,"0.719714755122162%","this",22,"0.6778908352963589%","this",31,"0.7313767479633652%","this",20,"1.072765863885022%","at",43,"0.7212601766698046%","by",15,"0.7324312297015478%","or",70,"0.42672023083082317%","cognitive",52,"0.6504226993230589%","are",46,"0.4124072457602553%","that",92,"0.4681600012139254%","alzheimer",38,"1.068620659727388%","research",2,"0.9345794392523364%","are",13,"0.6058178589129739%"
"be",1,"1.3333333333333333%","coordination",4,"1.0050251256281406%","in",4,"1.2698412698412698%","forms",5,"0.8620689655172413%","be",8,"0.4759341583563619%","alzheimer",5,"1.6265121930052937%","that",9,"0.7341565635774143%","that",7,"0.7084804314400859%","study",14,"0.7679289350975571%","that",15,"0.5249787488129779%","cognitive",25,"0.7467117663405928%","are",16,"0.6346462924419963%","on",22,"0.5372612238466677%","cognitive",30,"0.5339854628543065%","ad",20,"0.7893780155679176%","this",41,"1.3002626645324475%","or",15,"0.3118090134843717%","disease",69,"1.0624826513373615%","brain",51,"0.41395563834523524%","or",45,"0.49031669011666956%","participants",88,"0.44089367284741154%","are",38,"0.3952642234195052%","has",2,"0.9345794392523364%","symptoms",13,"0.3998017634179537%"
"fully",1,"1.3333333333333333%","patients'",4,"1.0050251256281406%","dementia",4,"1.2698412698412698%","study",4,"0.592581860330339%","by",8,"0.4759341583563619%","at",5,"0.4497005988023952%","effect",9,"0.4828562853140989%","determine",7,"0.5707254764072303%","participants",14,"0.7874374764748567%","amyloid",13,"0.4003814870798244%","or",18,"0.3291271170493687%","that",15,"0.5012871281212231%","that",21,"0.460610179968511%","subjects",29,"0.543534754539246%","we",20,"0.34253096401458094%","disease",40,"1.1232915867343205%","cognitive",15,"0.9708256303383328%","are",68,"0.4458059920619497%","are",50,"0.5147008751490348%","on",45,"0.6403759562167513%","ad",87,"0.6988284306779993%","by",36,"0.49509490773161513%","memory",2,"0.9345794392523364%","1",12,"0.4610037910985742%"
"elucidated",1,"1.3333333333333333%","sites",4,"1.0050251256281406%","their",4,"1.2698412698412698%","been",4,"0.592581860330339%","project",7,"1.010356842484681%","have",5,"0.37425149700598803%","on",9,"0.3115648289989801%","progression",7,"0.4887861667522685%","as",13,"0.45933258651303505%","blood",13,"0.43315410253615877%","that",17,"0.5174848651521278%","by",14,"0.5449680202059375%","group",19,"0.5001927997555132%","on",29,"0.455106738609451%","at",17,"0.3219974515525558%","by",40,"0.5625107591442261%","alzheimer",14,"1.4504399757286166%","at",60,"0.44286177710395846%","as",50,"0.6317020106532947%","dementia",40,"0.39199682737360336%","at",81,"0.6953786803247777%","intervention",33,"0.33968847414149533%","a",2,"2.0833333333333335%","dementia",11,"0.2538501252407658%"
"incidence",1,"1.3333333333333333%","that",4,"1.0050251256281406%","a",4,"1.2698412698412698%","cognitive",4,"0.5602240896358543%","mci",7,"0.6187192118226601%","support",5,"0.37425149700598803%","as",8,"0.5602215977774403%","mri",7,"0.4979909241584647%","measures",13,"0.20556609740670462%","clinical",12,"0.7488986856178275%","clinical",17,"0.5160241016335781%","cognitive",12,"0.8650295525305554%","or",19,"0.6172019439048247%","dementia",29,"0.5217289975005609%","memory",17,"0.5849168043012507%","that",37,"0.4772572162698593%","intervention",14,"0.37453183520599254%","1",59,"0.2817239619069033%","on",45,"0.635949548536766%","mci",38,"0.34167420183511826%","disease",72,"0.6887061809590482%","participants",32,"0.33633928802820534%","two",2,"2.0833333333333335%","on",10,"1.597211897430558%"
"mortality",1,"1.3333333333333333%","original",3,"0.7537688442211056%","is",3,"0.9523809523809523%","persons",4,"0.5602240896358543%","brain",7,"1.1211822660098523%","treatment",5,"1.3115074199427232%","fo-ti",7,"0.18617021276595744%","be",7,"0.8090131668250304%","are",12,"0.3589309800873323%","or",11,"0.38945766365661555%","decline",17,"0.27228469118796916%","for",12,"0.44757588828081285%","are",18,"0.5208073435601456%","-",28,"0.2896128638688206%","on",16,"0.7963711831505277%","garden",34,"0.08628127696289906%","disease",13,"1.0572447712126574%","cognitive",59,"0.659488043146287%","or",42,"0.5706843862257798%","disease",37,"0.5362300410227728%","treatment",70,"0.4094723080604021%","group",31,"0.32864485274889577%","intervention",2,"2.0833333333333335%","phase",10,"0.7080870425466324%"
"case-fatality",1,"1.3333333333333333%","chronic",3,"0.7537688442211056%","occupational",3,"0.9523809523809523%","genetic",4,"0.6572974017193085%","csf",6,"0.5044334975369458%","this",4,"1.1081836327345311%","an",6,"0.5030288053243788%","learning",7,"1.016824335806945%","at",11,"0.7399991463040787%","from",11,"0.2882562117268328%","brain",16,"0.3235302176053271%","on",11,"0.4499733567047014%","treatment",16,"0.45218466302908356%","clinical",27,"0.3573717610973442%","who",13,"0.6712391751494481%","as",33,"0.56482170656219%","an",13,"0.43570142250544125%","by",58,"0.4846819456473232%","by",39,"0.35589316225619216%","alzheimer",34,"0.5327604146937074%","are",70,"0.40053546436896925%","dementia",30,"0.5578166824199547%","will",2,"2.0833333333333335%","3",10,"0.29445054337188425%"
"we",1,"1.3333333333333333%","program",3,"0.7537688442211056%","therapy",3,"0.9523809523809523%","genes",4,"0.6896551724137931%","intervention",6,"0.2926829268292683%","disease",4,"1.0830339321357285%","treatment",6,"0.5934998989623765%","imaging",6,"0.5289920424045608%","intervention",11,"0.1739405439595193%","on",11,"0.35364777411931586%","by",16,"0.3343774546829471%","techniques",11,"0.12388576120103213%","using",15,"0.32984203879624413%","at",27,"0.3186308090189438%","as",12,"0.28446964967920585%","brain",33,"0.7202683836363493%","not",12,"0.5754046108593169%","2",54,"0.41423761688265587%","an",37,"0.375786297715749%","by",33,"0.38333126143539525%","patients",66,"0.6575644648251832%","cognitive",29,"0.41420092367172573%","aims",1,"0.4672897196261682%","at",10,"0.2326457147233782%"
"implemented",1,"1.3333333333333333%","improve",3,"0.7537688442211056%","older",3,"0.9523809523809523%","vitamin",3,"0.42016806722689076%","goal",5,"0.36996275381473026%","memory",4,"0.4%","are",6,"0.3749410253585762%","for",6,"0.4526589308932925%","used",10,"0.2427165969380368%","donepezil",11,"0.27548209366391185%","efficacy",16,"0.30936311556503304%","iadl",11,"0.11288998357963875%","an",15,"0.30738822613591904%","or",26,"0.4631206327965223%","tdcs",11,"0.4391801969656641%","group",32,"0.1848806309139435%","that",12,"0.16190010148331144%","-",53,"0.305909105553561%","from",33,"0.47069616348429316%","ad",33,"0.464661476850474%","alzheimer",62,"0.6563428987934232%","on",28,"0.5519205126050118%","at",1,"0.4672897196261682%","day",10,"0.48093456810720764%"
"longitudinal",1,"1.3333333333333333%","medical",3,"0.7537688442211056%","daily",3,"0.9523809523809523%","has",3,"0.45252583792137546%","normal",5,"0.43546798029556655%","glucose",4,"0.4%","clinical",6,"0.30413140593358784%","as",6,"0.5463977377763578%","cognitive",10,"0.5159916274216667%","cognitive",10,"0.3742082263936752%","after",16,"0.3145701519095432%","dementia",11,"0.5214708952413739%","effects",14,"0.33275773229710615%","memory",23,"0.2352768873981145%","exercise",10,"0.3003047055554573%","dementia",32,"0.7023544396218374%","are",12,"0.2284864613291479%","care",53,"0.2745003328982668%","at",33,"0.37332288228627675%","as",32,"0.3421748009899326%","sleep",62,"0.11793798744531102%","ad",28,"0.4355657833204539%","assessment",1,"0.4672897196261682%","2",10,"0.37739175096479494%"
"cohort",1,"1.3333333333333333%","satisfaction",3,"0.7537688442211056%","sense",3,"0.9523809523809523%","functional",3,"0.42016806722689076%","are",5,"0.30445752733389403%","metabolism",4,"0.4%","placebo",5,"0.5669041542815255%","an",6,"0.8180062109962314%","data",10,"0.5355001687989662%","these",10,"0.3910212015125147%","on",15,"0.4803874933210839%","it",11,"0.21103615509889817%","from",13,"0.2575082681045217%","treatment",20,"0.35972525385597615%","their",10,"0.265747171924438%","memory",27,"0.3782863068612439%","group",12,"0.24834114391539863%","alzheimer",49,"0.8016816647402083%","effects",27,"0.35084782589570734%","1",31,"0.4578815446679973%","intervention",55,"0.202650535158261%","or",28,"0.4037023927668656%","i",1,"0.4672897196261682%","t",10,"0.3768569815698923%"
"linked",1,"1.3333333333333333%","congress",3,"0.7537688442211056%","competence",3,"0.9523809523809523%","older",3,"0.42016806722689076%","cognitive",5,"0.5479108168202644%","that",4,"0.32455089820359284%","drug",5,"0.439490014538888%","mild",6,"0.9337530919541919%","it",10,"0.15812776723592661%","as",9,"0.2476852572270363%","pet",15,"0.43266750261029685%","or",11,"0.4853715190117532%","by",12,"0.240342068088348%","mci",19,"0.29647457527091053%","our",10,"0.09366804046459348%","an",27,"0.23574409788861383%","early",11,"0.4683285943402446%","clinical",46,"0.31172425951164295%","have",26,"0.21009242737883735%","their",31,"0.3889606394536918%","or",55,"0.41380590687879415%","treatment",26,"0.3378033796202441%","e",1,"0.4672897196261682%","psychiatry",10,"0.21204410517387617%"
"electronic",1,"1.3333333333333333%","extended",3,"0.7537688442211056%","measurement",3,"0.9523809523809523%","that",3,"0.42016806722689076%","years",5,"0.4807881773399014%","participants",4,"0.34970059880239523%","these",5,"0.17705382436260622%","months",6,"0.7370707207818651%","-",10,"0.15812776723592661%","also",9,"0.369095118354627%","dementia",15,"0.3686320459878596%","behavioral",10,"0.17530163097066712%","training",12,"0.27900680171167763%","from",19,"0.18325475844277603%","stimulation",10,"0.32654773139202203%","subjects",26,"0.326753155536371%","on",11,"0.528256340311091%","amyloid",46,"0.3181641956444016%","treatment",25,"0.4715871824547926%","have",29,"0.3293672116379765%","has",53,"0.3383467488985369%","have",25,"0.3245892104756013%","personal",1,"0.4672897196261682%","or",9,"0.39739055954641134%"
"records",1,"1.3333333333333333%","will",3,"0.7537688442211056%","baseline",3,"0.9523809523809523%","their",3,"0.45252583792137546%","their",5,"0.2842724978973928%","months",4,"0.34970059880239523%","have",5,"0.16823880417093606%","impairment",6,"0.713874916348784%","over",9,"0.4155900209959639%","early",9,"0.28477897138932723%","subjects",14,"0.37524414766794034%","treatment",9,"0.372317396420141%","-",12,"0.33721804073878986%","that",18,"0.38408500496225295%","treatment",10,"0.3700868521950241%","mci",24,"0.2370289031165572%","eye",11,"0.1395584876934788%","an",44,"0.3584407561255497%","dementia",25,"0.19571004843858822%","intervention",29,"0.29845635315987284%","have",51,"0.26335919196241353%","an",24,"0.3165327596383749%","there",1,"0.4672897196261682%","as",9,"0.5215349862383261%"
"5",1,"1.3333333333333333%","provide",3,"0.7537688442211056%","after",3,"0.9523809523809523%","trial",3,"0.42016806722689076%","negative",5,"0.4420355314664258%","couples",4,"0.2994011976047904%","awakenings",5,"0.17705382436260622%","at",6,"0.45726130959639066%","has",9,"0.22690382021444414%","dementia",9,"0.38538402860581866%","imaging",14,"0.3293858881659459%","participants",9,"0.5082807751980685%","subjects",11,"0.40120545736905183%","mild",18,"0.3402917940236786%","test",9,"0.13061039666469373%","assessment",23,"0.12287985428899173%","after",11,"0.17488081600312302%","diagnosis",44,"0.2683135195538634%","between",24,"0.23138175747551537%","participants",29,"0.3068640487033469%","been",48,"0.261775197106684%","training",23,"0.06991887753731543%","an",1,"0.4672897196261682%","cells",9,"0.3762541806020067%"
"6",1,"1.3333333333333333%","each",3,"0.7537688442211056%","6",3,"0.9523809523809523%","measures",3,"0.42016806722689076%","on",5,"0.24390243902439024%","counseling",4,"0.2994011976047904%","cognitive",5,"0.42209259910121827%","subcortical",5,"0.3367003367003367%","from",9,"0.4155900209959639%","csf",9,"0.2043145229012212%","3",14,"0.3282576207572594%","3",9,"0.13835577474840324%","functional",11,"0.32795570905615656%","tbi",17,"0.30145738851095993%","by",9,"0.2377440116989635%","on",22,"0.4208724770491925%","months",10,"0.15623828201734588%","using",41,"0.21224607246236216%","after",23,"0.2543211742996277%","treatment",28,"0.4681327147457711%","from",48,"0.2609480103562899%","these",22,"0.2903632663766703%","increased",1,"0.4672897196261682%","that",8,"0.5249549588785449%"
