"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"on",3,"0.5976095617529881%","concurrent",1,"0.7299270072992701%","invited",1,"0.5813953488372093%","burden",5,"0.36898107286456805%","measures",4,"0.6670117871933737%","these",4,"0.27666556201405657%","sleep",5,"0.5482456140350876%","at",14,"0.4003434903661952%","outcomes",14,"0.21648647323742204%","days",13,"0.2229849401111756%"
"postmortem",3,"0.5976095617529881%","clinical",1,"0.7299270072992701%","take",1,"0.5813953488372093%","imaging",5,"0.5573593073593074%","which",4,"0.558829775937135%","are",4,"2.2083895383693046%","stages",4,"0.3252032520325203%","test",14,"0.28337452591348583%","use",13,"0.2007169961123464%","patients",12,"0.23020335972756256%"
"goal",3,"0.5976095617529881%","status",1,"0.7299270072992701%","part",1,"0.5813953488372093%","from",5,"0.3869568677383416%","small",4,"0.3424657534246575%","year",4,"0.3194676093035606%","through",4,"0.3407227636065513%","-",14,"0.23743369516235358%","music",13,"0.4761904761904762%","intervention",12,"0.2897631365585567%"
"biospecimen",3,"0.5976095617529881%","identification",1,"0.7299270072992701%","purpose",1,"0.5813953488372093%","data",5,"0.33200416088765605%","changes",4,"0.3424657534246575%","have",4,"1.2532280620140566%","receive",4,"0.3011016520040155%","4",13,"0.26439071166626527%","adrd",13,"0.3295432095914697%","2",12,"0.3782169360058273%"
"repository",3,"0.5976095617529881%","risk",1,"0.7299270072992701%","identify",1,"0.5813953488372093%","15-1774",5,"0.30339805825242716%","accumulation",4,"0.3424657534246575%","their",4,"0.27666556201405657%","also",4,"0.31000931768659723%","control",13,"0.2578891161776127%","phase",13,"0.05015045135406219%","virtual",12,"0.24930999545819796%"
"ad",3,"0.5976095617529881%","factors",1,"0.7299270072992701%","measure",1,"0.5813953488372093%","inflammation",4,"0.5050505050505051%","a",4,"0.4506477646808963%","population",4,"0.2604166666666667%","several",4,"0.3457022633954325%","support",13,"0.2338971609226881%","pace",13,"0.05015045135406219%","outcomes",12,"0.3103273225990712%"
"will",3,"0.5976095617529881%","disease",1,"0.7299270072992701%","amount",1,"0.5813953488372093%","thinking",4,"0.3500808659570398%","cerebral",4,"0.4506477646808963%","use",4,"0.3246197376009227%","randomized",4,"0.29954565558280727%","or",13,"0.32979874468415654%","content",13,"0.05015045135406219%","n",11,"0.1388888888888889%"
"donor",2,"0.398406374501992%","essential",1,"0.7299270072992701%","protein",1,"0.5813953488372093%","relationship",4,"0.3083014612140826%","stiffness",4,"0.3424657534246575%","community",4,"0.2604166666666667%","one",4,"0.4018720930485637%","trial",13,"0.24374300105481003%","brain",12,"0.5354873350676985%","it",11,"0.18019811361704247%"
"samples",2,"0.398406374501992%","caring",1,"0.7299270072992701%","called",1,"0.5813953488372093%","clinical",4,"0.3369075638493114%","wave",4,"0.3424657534246575%","over",4,"0.3246197376009227%","risk",4,"0.3189792663476874%","from",12,"0.19421977829343565%","using",12,"0.20191257319030226%","memory",11,"0.2999825844653431%"
"blood",2,"0.398406374501992%","for",1,"0.7299270072992701%","thought",1,"0.5813953488372093%","undergo",4,"0.4310966810966811%","transcranial",4,"0.7751937984496124%","those",4,"0.2604166666666667%","related",4,"0.29954565558280727%","program",12,"0.19312174588611622%","online",12,"0.07271967325355837%","after",11,"0.30914988230803736%"
"csf",2,"0.398406374501992%","growing",1,"0.7299270072992701%","may",1,"0.5813953488372093%","15",4,"0.5050505050505051%","treatment",4,"0.7751937984496124%","bmsc",4,"0.3460207612456747%","health-related",4,"0.2801120448179272%","pwd",12,"0.20125145890729218%","module",12,"0.046292724326826636%","mci",11,"0.34452958098278297%"
"from",2,"0.398406374501992%","numbers",1,"0.7299270072992701%","related",1,"0.5813953488372093%","elders",4,"0.5050505050505051%","or",4,"0.7751937984496124%","both",3,"0.18500824340527577%","social",4,"0.2801120448179272%","app",12,"0.24454808101250972%","randomized",11,"0.46075327412415895%","weeks",11,"0.4279183030261816%"
"who",2,"0.398406374501992%","elderly",1,"0.7299270072992701%","development",1,"0.5813953488372093%","blood",4,"0.36805666083081334%","on",4,"0.7751937984496124%","important",3,"0.18500824340527577%","caregiver",4,"0.49737843855490915%","dementia",11,"0.2652800105372003%","eeg",11,"0.17482517482517484%","quality",11,"0.4176590582913972%"
"have",2,"0.398406374501992%","provide",1,"0.7299270072992701%","measured",1,"0.5813953488372093%","can",4,"0.3417100566153566%","impaired",3,"0.2568493150684932%","an",3,"0.2064092670500278%","n",4,"0.2801120448179272%","investigators",11,"0.24296700196821364%","caregiver",11,"0.21928259786360374%","baseline",11,"0.318078081305426%"
"select",2,"0.398406374501992%","non-invasive",1,"0.7299270072992701%","using",1,"0.5813953488372093%","quantitative",4,"0.3285367545076283%","strongly",3,"0.2568493150684932%","ge180",3,"0.17985611510791366%","cohort",3,"0.2512541082857637%","complete",11,"0.23844419238425896%","-",11,"0.06614826558528632%","exercise",11,"0.3254437869822485%"
"these",2,"0.398406374501992%","ways",1,"0.7299270072992701%","pet",1,"0.5813953488372093%","regional",4,"0.35714285714285715%","function",3,"0.2568493150684932%","pet",3,"0.17985611510791366%","neurodegenerative",3,"0.25860577754713715%","caregivers",11,"0.1660245764019349%","modules",11,"0.042434997299591076%","early",10,"0.1469997543564695%"
"collection",2,"0.398406374501992%","look",1,"0.7299270072992701%","11c",1,"0.5813953488372093%","susceptibility",4,"0.35714285714285715%","decline",3,"0.2568493150684932%","ligand",3,"0.17985611510791366%","by",3,"0.23107364079953374%","dmn",11,"0.2567693744164332%","on",10,"0.2404757011105309%","have",10,"0.22467639093254857%"
"nervous",2,"0.398406374501992%","at",1,"0.7299270072992701%","pib",1,"0.5813953488372093%","rates",4,"0.2713245492371706%","increased",3,"0.2568493150684932%","which",3,"0.2064092670500278%","it",3,"0.23107364079953374%","alzheimer",10,"0.25283536586583477%","not",10,"0.11677210560537186%","safety",10,"0.4575504850835247%"
"such",2,"0.398406374501992%","function",1,"0.7299270072992701%","participation",1,"0.5813953488372093%","iron",4,"0.35714285714285715%","mild",3,"0.4732133375809706%","current",3,"0.17985611510791366%","research",3,"0.2213568354170937%","disease",10,"0.2532053662358351%","memory",10,"0.45398625933440884%","week",10,"0.27814421688373503%"
"university",2,"0.398406374501992%","agent",1,"0.7299270072992701%","involve",1,"0.5813953488372093%","qsm",4,"0.35714285714285715%","dementia",3,"0.4732133375809706%","time",3,"0.18500824340527577%","they",3,"0.2213568354170937%","medication",10,"0.1821800183629145%","two",10,"0.211961747868012%","used",9,"0.24323859833614395%"
"wisconsin-madison",2,"0.398406374501992%","identifies",1,"0.7299270072992701%","initial",1,"0.5813953488372093%","assessed",4,"0.2713245492371706%","imaging",3,"0.2568493150684932%","provide",3,"0.18500824340527577%","which",3,"0.24814211544334727%","nursing",10,"0.2405002405002405%","their",10,"0.2870021451517406%","brain",9,"0.30502064984823607%"
"center",2,"0.398406374501992%","an",1,"0.7299270072992701%","possibly",1,"0.5813953488372093%","18-2607",4,"0.24271844660194175%","may",3,"0.2568493150684932%","data",3,"0.17985611510791366%","protein",3,"0.26595744680851063%","staff",10,"0.21720571458791355%","used",10,"0.12083032723902701%","impairment",9,"0.24309902341353648%"
"serve",2,"0.398406374501992%","exciting",1,"0.7299270072992701%","follow-up",1,"0.5813953488372093%","being",3,"0.3787878787878788%","wm",3,"0.2568493150684932%","without",3,"0.2064092670500278%","diseases",3,"0.26595744680851063%","months",10,"0.24138656553061288%","from",10,"0.14469370782628738%","which",9,"0.2029563842750656%"
"community",2,"0.398406374501992%","development",1,"0.7299270072992701%","two",1,"0.5813953488372093%","scan",3,"0.313204864175738%","recently",3,"0.2568493150684932%","mci",3,"0.17985611510791366%","has",3,"0.27804642166344296%","examine",9,"0.20609735053272205%","2",10,"0.1367715362724584%","mild",9,"0.24131588170997037%"
"centers",2,"0.398406374501992%","needs",1,"0.7299270072992701%","years",1,"0.5813953488372093%","accumulation",3,"0.30483405483405485%","not",3,"0.3650313263247319%","prevalence",3,"0.1953125%","shown",3,"0.2683296162810029%","pet",9,"0.544252892876746%","3",10,"0.1367715362724584%","from",9,"0.2586388754617389%"
"investigators",2,"0.398406374501992%","be",1,"0.7299270072992701%","later",1,"0.5813953488372093%","also",3,"0.33118065904951155%","aâ42",3,"0.2568493150684932%","outcomes",3,"0.1953125%","diabetes",3,"0.23923444976076555%","data",9,"0.19743618160064857%","each",10,"0.13585353687846205%","during",9,"0.2639948856103133%"
"also",2,"0.398406374501992%","studied",1,"0.7299270072992701%","data",1,"0.5813953488372093%","do",3,"0.28940125430655433%","it",3,"0.2568493150684932%","americans",3,"0.1953125%","dppos",3,"0.23923444976076555%","30",9,"0.1949697589232473%","learning",10,"0.03857727027235553%","older",9,"0.3064928548310023%"
"donation",2,"0.398406374501992%","we",1,"0.7299270072992701%","explain",1,"0.5813953488372093%","testing",3,"0.30483405483405485%","thoracic",3,"0.2568493150684932%","also",3,"0.21671352364475202%","from",3,"0.2594219505984212%","between",9,"0.2718484693397713%","automatic",10,"0.03857727027235553%","data",9,"0.3009989092110563%"
"objectives",2,"0.398406374501992%","plan",1,"0.7299270072992701%","deposits",1,"0.5813953488372093%","have",3,"0.3787878787878788%","aorta",3,"0.2568493150684932%","resources",3,"0.1953125%","strategies",3,"0.23923444976076555%","cpap",9,"0.14534883720930233%","other",9,"0.14901973285256476%","hd-tdcs",9,"0.30612244897959184%"
"overall",2,"0.398406374501992%","technique",1,"0.7299270072992701%","several",1,"0.5813953488372093%","than",3,"0.29420374707259955%","through",3,"0.3650313263247319%","hispanic",3,"0.1953125%","improving",3,"0.29904306220095694%","6-week",9,"0.21008403361344538%","health",9,"0.24067581574462976%","team",9,"0.12539418205010097%"
"adrc-affiliated",2,"0.398406374501992%","normal",1,"0.7299270072992701%","groups",1,"0.5813953488372093%","million",3,"0.3073770491803279%","pulse",3,"0.2568493150684932%","more",3,"1.1932760236447522%","on",3,"0.21980083899588543%","week",9,"0.20218093054557484%","can",9,"0.17345261218327787%","-",8,"0.2845638177062072%"
"providing",2,"0.398406374501992%","volunteers",1,"0.7299270072992701%","including",1,"0.5813953488372093%","5",3,"0.26559764443737066%","velocity",3,"0.2568493150684932%","by",3,"0.1953125%","cognitive",3,"0.3289473684210526%","beta",9,"0.17452006980802792%","our",9,"0.14104354158007942%","two",8,"0.22306674689347766%"
"genetic",2,"0.398406374501992%","patients",1,"0.7299270072992701%","adults",1,"0.5813953488372093%","united",3,"0.3073770491803279%","temporal",3,"0.5813953488372093%","dementias",3,"0.23811454728950404%","memory",3,"0.3289473684210526%","impairment",8,"0.23907837000884666%","1",9,"0.13291380924522284%","an",8,"0.3536706254520447%"
"adni",2,"0.398406374501992%","with",1,"0.7299270072992701%","without",1,"0.5813953488372093%","states",3,"0.3073770491803279%","scalp",3,"0.5813953488372093%","interventions",3,"0.1953125%","people",3,"0.282506164859106%","quality",8,"0.1948767366697554%","measures",9,"0.2501436060932369%","all",8,"0.17800717703115548%"
"related",2,"0.398406374501992%","variety",1,"0.7299270072992701%","signs",1,"0.5813953488372093%","year",3,"0.3073770491803279%","doppler",3,"0.5813953488372093%","ability",3,"0.23811454728950404%","community",3,"0.21008403361344538%","which",8,"0.14884055743978694%","dyads",9,"0.05843281153081522%","scale",8,"0.1529461878983101%"
"registry",2,"0.398406374501992%","diseases",1,"0.7299270072992701%","impairment",1,"0.5813953488372093%","known",3,"0.3073770491803279%","confirmation",3,"0.5813953488372093%","methods",3,"0.21671352364475202%","resources",3,"0.21008403361344538%","have",8,"0.1823214901775082%","subjects",8,"0.6258143296847168%","group",8,"0.21478332202091202%"
"stores",1,"0.199203187250996%","determine",1,"0.7299270072992701%","information",1,"0.5813953488372093%","years",3,"0.2810304449648712%","important",2,"0.17123287671232876%","improve",3,"0.25951557093425603%","visit",3,"0.35492829610476667%","time",8,"0.16456873503830716%","new",8,"0.21146006273919954%","verbal",8,"0.2545155993431855%"
"e",1,"0.199203187250996%","its",1,"0.7299270072992701%","find",1,"0.5813953488372093%","which",3,"0.2524243423296424%","linking",2,"0.17123287671232876%","autism",3,"0.25951557093425603%","phone",3,"0.282506164859106%","e",8,"0.17254986664339855%","participants",8,"0.33434655272123515%","researchers",8,"0.2785007085878628%"
"g",1,"0.199203187250996%","utility",1,"0.7299270072992701%","out",1,"0.5813953488372093%","progression",3,"0.2524243423296424%","alzheimer",2,"0.17123287671232876%","spectrum",3,"0.25951557093425603%","completing",3,"0.4273504273504274%","brain",8,"0.5115316467794467%","all",8,"0.16068644755147557%","adults",8,"0.35221273429472416%"
"deceased",1,"0.199203187250996%","long",1,"0.7299270072992701%","who",1,"0.5813953488372093%","explorative",3,"0.26785714285714285%","physical",2,"0.17123287671232876%","mmse",3,"0.25951557093425603%","longitudinal",2,"0.16260162601626016%","activities",8,"0.1630320540083398%","analysis",8,"0.06696822827031636%","up",8,"0.2163693651487295%"
"participated",1,"0.199203187250996%","term",1,"0.7299270072992701%","more",1,"0.5813953488372093%","50",3,"0.26785714285714285%","linked",2,"0.17123287671232876%","involve",2,"0.11990407673860912%","investigates",2,"0.16995329527763361%","aims",7,"0.19469794272780283%","staff",8,"0.06932423582876014%","through",7,"0.09911591952682186%"
"longitudinal",1,"0.199203187250996%","followup",1,"0.7299270072992701%","likely",1,"0.5813953488372093%","recruited",3,"0.239251040221914%","commonly",2,"0.17123287671232876%","understanding",2,"0.11990407673860912%","cognitively",2,"0.16260162601626016%","one",7,"0.24580229658926342%","e",8,"0.08621052434310392%","has",7,"0.15072276916322816%"
"participants",1,"0.199203187250996%","these",1,"0.7299270072992701%","have",1,"0.5813953488372093%","their",3,"0.26785714285714285%","using",2,"0.2794148879685675%","how",2,"0.12505620503597123%","normal",2,"0.16260162601626016%","per",7,"0.1531088374780231%","nursing",8,"0.2749222104060814%","present",7,"0.09217793700552321%"
"donated",1,"0.199203187250996%","subjects",1,"0.7299270072992701%","when",1,"0.5813953488372093%","3",3,"0.239251040221914%","mci",2,"0.2794148879685675%","tspo",2,"0.11990407673860912%","examine",2,"0.16995329527763361%","after",7,"0.28281578748676134%","family",8,"0.15485551892843363%","symptoms",7,"0.20102918935549244%"
"aid",1,"0.199203187250996%","will",1,"0.7299270072992701%","increases",1,"0.5813953488372093%","r2",3,"0.26785714285714285%","these",2,"0.17123287671232876%","can",2,"0.11990407673860912%","1",2,"0.22375095545827253%","weeks",7,"0.19402460695643697%","sites",8,"0.13385593128377488%","due",7,"0.10735433149226252%"
"scientific",1,"0.199203187250996%","allow",1,"0.7299270072992701%","developing",1,"0.5813953488372093%","deep",3,"0.26785714285714285%","vessel",2,"0.17123287671232876%","used",2,"0.11990407673860912%","relationship",2,"0.16995329527763361%","blood",7,"0.1295894028452168%","treatment",7,"0.32411414118336224%","open-label",7,"0.3394235475733273%"
"through",1,"0.199203187250996%","us",1,"0.7299270072992701%","problems",1,"0.5813953488372093%","gray",3,"0.26785714285714285%","more",2,"0.17123287671232876%","imaging",2,"1.1016187050359714%","between",2,"0.16995329527763361%","polysomnography",7,"0.1543998637021893%","pet",7,"0.32027712456328905%","visit",7,"0.2732909120574319%"
"central",1,"0.199203187250996%","understand",1,"0.7299270072992701%","studies",1,"0.5813953488372093%","matter",3,"0.26785714285714285%","can",2,"0.17123287671232876%","studies",2,"0.11990407673860912%","central",2,"0.16260162601626016%","health",7,"0.10303637662128227%","among",7,"0.20031171248473487%","day",7,"0.2654042620155802%"
