"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"computerized",8,"1.5037593984962405%","is",2,"1.5873015873015872%","study",14,"1.4096251284420103%","in",10,"2.483591677140064%","6-month",2,"3.4482758620689653%","alzheimer",2,"3.389830508474576%","study",2,"0.9803921568627451%","with",15,"2.0708815770721904%","study",3,"3.2518796992481205%","will",6,"0.9317738791423001%","mg",20,"0.6596306068601583%","this",11,"1.927854956474557%","disease",17,"1.6923218253415213%","is",26,"1.521419781564691%","alzheimer",17,"1.2970633504446119%","study",8,"2.3398943647212627%","with",15,"2.0972180636046183%","study",3,"1.4851485148514851%","also",3,"1.910828025477707%","to",5,"1.2019230769230769%"
"will",8,"1.5037593984962405%","to",2,"1.5873015873015872%","patients",13,"1.0607881093829963%","study",8,"1.835637480798771%","purpose",1,"1.7241379310344827%","the",2,"3.389830508474576%","brain",2,"0.9803921568627451%","visit",11,"0.8094186902133922%","with",3,"1.1278195488721805%","sr",6,"0.5847953216374269%","at",20,"1.1305069011316153%","disease",10,"1.1792404377708054%","by",15,"0.8186684595981473%","this",25,"1.6475659117450054%","this",17,"1.3609955329588739%","patients",8,"0.6820119352088662%","be",15,"0.927643784786642%","is",3,"1.4851485148514851%","form",3,"1.910828025477707%","with",5,"1.2904858299595143%"
"has",6,"1.1278195488721805%","or",2,"1.5873015873015872%","with",11,"1.053654607856646%","is",8,"1.1862868314481219%","this",1,"1.7241379310344827%","if",1,"1.694915254237288%","activation",2,"0.9803921568627451%","patients",10,"1.7556430995820573%","be",3,"1.1278195488721805%","treatment",5,"2.268406057879742%","a",19,"1.282249982020571%","for",10,"1.3107210891976693%","will",15,"0.7740397834922237%","for",22,"0.6347329756297798%","is",16,"1.187728540825193%","for",8,"0.805582041936605%","ad",12,"1.5374727979769995%","test",3,"1.4851485148514851%","a",3,"1.910828025477707%","safety",5,"1.3790485829959516%"
"assessment",6,"1.1278195488721805%","dementia",2,"1.5873015873015872%","by",11,"0.8612981339451818%","for",8,"1.5109621561234465%","demonstrate",1,"1.7241379310344827%","low",1,"1.694915254237288%","3",2,"0.9803921568627451%","subjects",10,"0.7885142818917653%","this",2,"2.8759398496240602%","1",4,"1.0838206627680311%","or",19,"0.8295032201322098%","alzheimer",9,"1.0433708725534139%","is",14,"1.1792301610917966%","with",22,"1.5873150414323112%","for",16,"1.1145398737772516%","is",7,"0.6585454966716273%","a",10,"1.3668622071983416%","effects",3,"1.4851485148514851%","this",3,"1.910828025477707%","efficacy",5,"1.3790485829959516%"
"is",6,"1.1278195488721805%","with",2,"1.5873015873015872%","glaucoma",11,"0.6516587677725119%","fmri",7,"0.7575757575757577%","safety",1,"1.7241379310344827%","level",1,"1.694915254237288%","groups",2,"0.9803921568627451%","insulin",9,"0.662251655629139%","groups",2,"0.7518796992481203%","disease",4,"1.627380416854101%","day",17,"0.5606860158311345%","or",9,"1.6449334339883774%","that",13,"0.8591977510512128%","disease",21,"0.8000063389400697%","will",16,"0.9730734424022585%","scan",7,"0.7512230767174314%","on",9,"0.7747807747807748%","a",3,"1.4851485148514851%","improvement",2,"1.2738853503184713%","6",5,"1.644736842105263%"
"be",6,"1.1278195488721805%","and",2,"1.5873015873015872%","on",10,"0.9735218835408417%","index",7,"0.7575757575757577%","efficacy",1,"1.7241379310344827%","can",1,"1.694915254237288%","be",2,"0.9803921568627451%","on",8,"0.8520636831895111%","for",2,"2.8759398496240602%","or",4,"0.9334233018443544%","with",15,"0.9488493241637992%","dementia",9,"1.0229904377708054%","be",13,"0.7548800255128625%","by",18,"0.6924225639138234%","disease",15,"1.0569311486302797%","participants",7,"0.8130081300813008%","at",9,"1.086824784303776%","csf",3,"1.4851485148514851%","treatment",2,"1.2738853503184713%","this",4,"0.9615384615384616%"
"from",5,"0.9398496240601504%","such",2,"1.5873015873015872%","an",9,"0.7284539311778297%","mci",7,"0.7575757575757577%","treatment",1,"1.7241379310344827%","help",1,"1.694915254237288%","25",2,"0.9803921568627451%","at",8,"0.7467054652485117%","designed",2,"2.8759398496240602%","anxiety",4,"0.3898635477582846%","this",14,"0.9977857261149059%","will",8,"1.2296195652173914%","this",12,"1.2256731131007461%","blood",18,"0.34474635473782544%","ad",15,"0.921348055600378%","this",6,"1.1053264634866948%","tasks",8,"0.494743351886209%","amyloid",3,"1.4851485148514851%","patients",2,"1.2738853503184713%","is",4,"0.9615384615384616%"
"it",5,"0.9398496240601504%","clinical",2,"1.5873015873015872%","that",9,"0.684685535765265%","this",6,"1.187683284457478%","with",1,"1.7241379310344827%","patients",1,"1.694915254237288%","mild",2,"2.156862745098039%","are",7,"0.673121947956385%","improve",2,"0.7518796992481203%","person",4,"0.3898635477582846%","solifenacin",13,"0.4287598944591029%","diabetes",8,"0.6872852233676976%","alzheimer",12,"1.2912758230890569%","as",17,"0.43404587147249374%","be",14,"0.8823620025298179%","alzheimer",6,"1.1053264634866948%","for",7,"1.2751829558552246%","protein",3,"1.4851485148514851%","with",2,"1.2738853503184713%","by",4,"1.1386639676113361%"
"been",5,"0.9398496240601504%","trial",2,"1.5873015873015872%","this",9,"0.6732468471363162%","who",6,"0.6493506493506493%","mild-to-moderate",1,"1.7241379310344827%","diagnosed",1,"1.694915254237288%","cognitive",2,"2.156862745098039%","cognitive",6,"0.6522175396347581%","sleep",2,"0.7518796992481203%","caregiver",4,"0.3898635477582846%","for",13,"1.067610874709747%","tau",7,"1.1733586543678785%","pet",11,"0.4824561403508772%","alzheimer",17,"0.7257878533654246%","subjects",13,"0.8417602210104874%","dexmedetomidine",6,"0.5115089514066496%","can",7,"0.6510949368092225%","40",3,"1.4851485148514851%","probable",2,"1.2738853503184713%","week",4,"0.9615384615384616%"
"mild",5,"0.9398496240601504%","vs",2,"1.5873015873015872%","subjects",8,"0.9787628133563382%","healthy",5,"0.754782851557045%","alzheimer",1,"1.7241379310344827%","disease",1,"1.694915254237288%","impairment",2,"2.156862745098039%","anesthesia",6,"0.7575757575757577%","in",2,"2.8759398496240602%","techniques",4,"0.3898635477582846%","patients",11,"0.6503281239428997%","bac",6,"0.8152173913043478%","enteric",10,"0.7961783439490446%","sleep",16,"0.8380608561113977%","cognitive",13,"0.927577867007189%","complete",6,"0.6659715848163231%","this",7,"0.6510949368092225%","42",3,"1.4851485148514851%","per",2,"1.2738853503184713%","at",4,"1.2272267206477732%"
"on",5,"0.9398496240601504%","quetiapine",2,"1.5873015873015872%","or",7,"0.9280376940080212%","an",5,"0.9726295210166178%","disease",1,"1.7241379310344827%","purpose",1,"1.694915254237288%","mci",2,"0.9803921568627451%","or",6,"0.6522175396347581%","alzheimer",2,"0.7518796992481203%","this",3,"1.1829359724096566%","in",11,"0.9002207422162016%","vascular",6,"0.7652584790079188%","-",9,"0.4154346540508575%","an",15,"0.5660468364842856%","18f",13,"0.6585612968591692%","disease",5,"1.0200749715855866%","life",7,"0.5419976848548277%","function",3,"1.4851485148514851%","to",2,"1.2738853503184713%","ac-1204",4,"1.3157894736842106%"
"suffering",4,"0.7518796992481203%","for",2,"1.5873015873015872%","expression",7,"0.4146919431279621%","participants",5,"0.5411255411255411%","it",1,"1.7241379310344827%","this",1,"1.694915254237288%","in",2,"2.156862745098039%","is",5,"1.0716508592984262%","disease",2,"0.7518796992481203%","study",3,"1.1829359724096566%","their",11,"0.3627968337730871%","be",6,"0.8467802181383536%","nervous",8,"0.6369426751592356%","ad",14,"0.5421727145865076%","dementia",10,"0.7939583249318513%","by",5,"0.958289918221717%","garden",6,"1.0256410256410258%","will",3,"1.4851485148514851%","undergo",2,"1.2738853503184713%","months",4,"1.3157894736842106%"
"impairment",4,"0.7518796992481203%","visits",2,"1.5873015873015872%","at",6,"0.6764395139354193%","as",5,"1.0794581762323698%","a",1,"1.7241379310344827%","pilot",1,"1.694915254237288%","aim",1,"0.49019607843137253%","their",5,"0.47327580440163225%","pad",2,"0.7518796992481203%","2",3,"1.1829359724096566%","on",10,"1.1547705020430061%","part",6,"0.9375%","system",8,"0.6011844898871382%","participants",14,"0.5647913923775992%","are",10,"0.8256968718860447%","imaging",5,"0.5189350395513456%","study",6,"0.7452740225849469%","be",3,"1.4851485148514851%","at",2,"1.2738853503184713%","global",3,"0.7211538461538461%"
"training",4,"0.7518796992481203%","a",2,"1.5873015873015872%","50",6,"0.7460073884220101%","volunteers",4,"0.4329004329004329%","enrolling",1,"1.7241379310344827%","study",1,"1.694915254237288%","protocol",1,"0.49019607843137253%","for",5,"0.525954913372132%","their",2,"0.7518796992481203%","alzheimer",3,"1.1829359724096566%","15",10,"0.32981530343007914%","load",6,"0.5154639175257731%","during",7,"0.3575598805214568%","or",14,"0.4448870172935083%","on",10,"0.7229974773578364%","an",5,"0.5189350395513456%","daily",6,"0.3710575139146568%","purpose",2,"0.9900990099009901%","2",2,"1.2738853503184713%","as",3,"0.7211538461538461%"
"function",4,"0.7518796992481203%","end",2,"1.5873015873015872%","disease",6,"0.5621675013233662%","convert",4,"0.4329004329004329%","651",1,"1.7241379310344827%","is",1,"1.694915254237288%","is",1,"0.49019607843137253%","subject",5,"0.4205966954311325%","caregivers",2,"0.7518796992481203%","be",3,"0.6393762183235867%","as",10,"0.32981530343007914%","patients",5,"0.6793478260869565%","have",7,"0.42611942078770965%","flow",14,"0.33456727803017555%","that",9,"0.7516776268823436%","they",5,"0.5807200929152149%","nursing",6,"1.3071895424836601%","long-term",2,"0.9900990099009901%","for",2,"1.2738853503184713%","donepezil",3,"0.7211538461538461%"
"have",4,"0.7518796992481203%","early",2,"1.5873015873015872%","for",6,"0.5859806212941616%","be",4,"0.5397290881161849%","japan",1,"1.7241379310344827%","whether",1,"1.694915254237288%","resting",1,"0.49019607843137253%","partner",5,"0.36791758646063283%","cg",2,"0.7518796992481203%","that",3,"0.6393762183235867%","10",8,"0.2638522427440633%","one",5,"0.5498515239802779%","or",7,"0.8246271108482818%","cognitive",13,"0.3936606586734878%","treatment",8,"0.5819876524101877%","at",4,"0.4336835476502372%","are",5,"0.5743338516447759%","therapeutic",2,"0.9900990099009901%","6",2,"1.2738853503184713%","patients",3,"0.8097165991902835%"
"neuropsychological",4,"0.7518796992481203%","termination",2,"1.5873015873015872%","cell",6,"0.35545023696682465%","qtc",4,"0.8602150537634409%","hong",1,"1.7241379310344827%","application",1,"1.694915254237288%","profile",1,"0.49019607843137253%","therapy",5,"0.36791758646063283%","dyads",2,"0.7518796992481203%","are",3,"1.1829359724096566%","mtd",8,"0.2638522427440633%","treatment",5,"0.6701497833557448%","cognitive",7,"0.30997437413759116%","that",13,"0.6034771360796509%","clinical",7,"0.45875251509054327%","pet",4,"0.4645760743321719%","efficacy",5,"0.30921459492888065%","doses",2,"0.9900990099009901%","same",2,"1.2738853503184713%","on",3,"0.8982793522267207%"
"crossover",4,"0.7518796992481203%","primary",1,"0.7936507936507936%","death",6,"0.35545023696682465%","mri",3,"0.3246753246753247%","kong",1,"1.7241379310344827%","generated",1,"1.694915254237288%","people",1,"0.49019607843137253%","alzheimer",4,"1.0507464509767994%","caregiver",2,"0.7518796992481203%","evaluate",3,"0.8359574149047834%","treatment",8,"0.2638522427440633%","rilapladib",5,"0.78125%","lp",7,"0.32771535580524347%","function",12,"0.25174736856716534%","older",7,"0.43666252836165936%","fddnp",4,"0.4645760743321719%","home",5,"0.7772806092133823%","on",2,"0.9900990099009901%","points",2,"1.2738853503184713%","endpoints",3,"0.8097165991902835%"
"treatment",4,"0.7518796992481203%","aim",1,"0.7936507936507936%","placebo",5,"0.6609662031868466%","brain",3,"0.6493506493506493%","korea",1,"1.7241379310344827%","by",1,"1.694915254237288%","using",1,"0.49019607843137253%","ad",4,"0.39969228710950566%","from",2,"0.7518796992481203%","intervention",3,"0.29239766081871343%","is",7,"0.7031266138028317%","subjects",5,"1.2828947368421053%","pain",7,"0.32771535580524347%","on",12,"0.6244660811177288%","as",6,"0.3624394118850217%","suspected",4,"0.4645760743321719%","time",5,"0.30921459492888065%","cerebrospinal",2,"0.9900990099009901%","li",2,"1.2738853503184713%","phase",3,"0.8982793522267207%"
"older",3,"0.5639097744360902%","determine",1,"0.7936507936507936%","alzheimer",5,"0.5029257951622288%","that",3,"0.3246753246753247%","republic",1,"1.7241379310344827%","resonator",1,"1.694915254237288%","new",1,"0.49019607843137253%","that",4,"0.34701317813900595%","first",2,"0.7518796992481203%","use",3,"0.29239766081871343%","cpc-201",7,"0.23087071240105542%","brain",5,"1.0015373485259542%","their",6,"0.2631578947368421%","brain",11,"0.8674228439715566%","by",6,"0.5059768354818219%","clinical",4,"0.4645760743321719%","participants",5,"0.30921459492888065%","fluid",2,"0.9900990099009901%","evaluate",1,"0.6369426751592356%","study",3,"0.8982793522267207%"
"for",3,"0.5639097744360902%","whether",1,"0.7936507936507936%","mg",5,"0.6724048918157954%","mild",3,"0.43150397989107664%","china",1,"1.7241379310344827%","may",1,"1.694915254237288%","fmri",1,"0.49019607843137253%","have",4,"0.4523713960800054%","findings",2,"0.7518796992481203%","minutes",3,"0.29239766081871343%","after",7,"0.41559532363301904%","evaluate",4,"1.0655034324942791%","central",5,"0.3623309867024248%","gv1001",10,"0.15325670498084293%","these",6,"0.4010496214796873%","sleep",3,"0.2557544757033248%","antibiotic",5,"1.0893246187363834%","tau",2,"0.9900990099009901%","cognitive",1,"0.6369426751592356%","24",3,"0.7211538461538461%"
"elderly",3,"0.5639097744360902%","one",1,"0.7936507936507936%","increased",5,"0.433357920675638%","between",3,"0.43150397989107664%","all",1,"1.7241379310344827%","cognitive",1,"1.694915254237288%","procedure",1,"0.49019607843137253%","they",4,"0.34701317813900595%","non-intervention",1,"0.37593984962406013%","clinical",2,"0.8888888888888888%","brain",6,"0.6035974692881664%","on",4,"0.4639408710593157%","could",5,"0.3652878169803669%","1",10,"0.3507842818187646%","compare",6,"0.5582208425155409%","may",3,"0.2557544757033248%","other",4,"0.3564689278974993%","b",2,"0.9900990099009901%","pre",1,"0.6369426751592356%","are",3,"0.7211538461538461%"
"early",3,"0.5639097744360902%","atypical",1,"0.7936507936507936%","daily",5,"0.5410997055781014%","dementia",3,"0.3246753246753247%","completing",1,"1.7241379310344827%","functioning",1,"1.694915254237288%","called",1,"0.49019607843137253%","patient",4,"0.4523713960800054%","qualitative",1,"0.37593984962406013%","patients",2,"0.5419103313840156%","continue",6,"0.19788918205804748%","which",4,"0.4639408710593157%","on",5,"0.7697091675968231%","are",10,"0.30893920156014365%","groups",6,"0.5153586902787978%","which",3,"0.2557544757033248%","using",4,"0.3564689278974993%","cognitive",2,"0.9900990099009901%","amd",1,"0.6369426751592356%","for",3,"0.8982793522267207%"
"are",3,"0.5639097744360902%","antipsychotics",1,"0.7936507936507936%","ad",5,"0.5868544600938967%","those",3,"0.3246753246753247%","will",1,"1.7241379310344827%","and",1,"1.694915254237288%","applied",1,"0.49019607843137253%","consent",4,"0.34701317813900595%","use",1,"0.37593984962406013%","patient",2,"0.5419103313840156%","from",6,"0.2811867214824814%","associated",4,"0.41398195876288657%","from",5,"0.2580132611640745%","endothelial",10,"0.19630938358853553%","differences",6,"0.40241448692152915%","extracellular",3,"0.2557544757033248%","services",4,"0.8245349421820011%","with",2,"0.9900990099009901%","post",1,"0.6369426751592356%","assessed",3,"0.8982793522267207%"
"this",3,"0.5639097744360902%","more",1,"0.7936507936507936%","mrna",5,"0.2962085308056872%","have",3,"0.3246753246753247%","be",1,"1.7241379310344827%","individuals",1,"1.694915254237288%","alzheimer",1,"0.49019607843137253%","one",4,"0.39969228710950566%","assess",1,"0.37593984962406013%","reminiscence",2,"0.1949317738791423%","each",6,"0.5854679369050706%","an",4,"0.3436426116838488%","assess",5,"0.3324864619862115%","treatment",9,"0.3871556285349389%","could",5,"0.35985141618944433%","90",3,"0.31753952906719424%","2",4,"0.5124909326589999%","a-beta",2,"0.9900990099009901%","alzheimer",1,"0.6369426751592356%","baseline",3,"0.8982793522267207%"
"study",3,"0.5639097744360902%","effective",1,"0.7936507936507936%","methylphenidate",5,"0.5296610169491526%","xr",3,"0.6451612903225806%","eligible",1,"1.7241379310344827%","a",1,"1.694915254237288%","disease",1,"0.49019607843137253%","amyloid",4,"0.29433406916850624%","feasibility",1,"0.37593984962406013%","designed",2,"0.1949317738791423%","2",6,"0.3826137932900111%","as",3,"0.3076908710593157%","project",5,"0.2580132611640745%","participant",8,"0.12260536398467432%","have",5,"0.40886343703245115%","testing",3,"0.31753952906719424%","during",4,"0.2473716759431045%","neurons",2,"0.9900990099009901%","dementia",1,"0.6369426751592356%","differences",3,"0.9868421052631579%"
"program",3,"0.5639097744360902%","improving",1,"0.7936507936507936%","dose",4,"0.5341429816423491%","neuronal",3,"1.2987012987012987%","receive",1,"1.7241379310344827%","diagnosis",1,"1.694915254237288%","suffering",1,"0.49019607843137253%","obtained",4,"0.29433406916850624%","acceptability",1,"0.37593984962406013%","maladaptive",2,"0.1949317738791423%","during",6,"0.4007433256731069%","2",3,"0.3076908710593157%","brain",5,"0.7309941520467836%","which",8,"0.1937049912534431%","function",5,"0.35985141618944433%","assess",3,"0.31753952906719424%","how",4,"0.2473716759431045%","significant",2,"0.9900990099009901%","as",1,"0.6369426751592356%","between",3,"0.9868421052631579%"
"randomized",3,"0.5639097744360902%","related",1,"0.7936507936507936%","may",4,"0.4322454003721425%","cells",3,"1.2987012987012987%","an",1,"1.7241379310344827%","s",1,"1.694915254237288%","from",1,"0.49019607843137253%","as",4,"0.29433406916850624%","proposed",1,"0.37593984962406013%","behaviors",2,"0.1949317738791423%","receive",6,"0.2811867214824814%","mg",3,"0.46875%","care",5,"0.7369078126026678%","quality",8,"0.3446431617725032%","two",5,"0.30001417389797946%","cognitive",3,"0.31753952906719424%","over",4,"0.2473716759431045%","would",2,"0.9900990099009901%","measured",1,"0.6369426751592356%","placebo",3,"0.9868421052631579%"
"ab",3,"0.5639097744360902%","behavioral",1,"0.7936507936507936%","determine",4,"0.4466061908172197%","functional",2,"0.21645021645021645%","open-label",1,"1.7241379310344827%","dementia",1,"1.694915254237288%","amnestic",1,"0.49019607843137253%","determine",3,"0.3261087698173791%","future",1,"0.37593984962406013%","individuals",2,"0.1949317738791423%","weeks",6,"0.652015551076728%","aged",3,"0.3280713058419244%","emla",5,"0.2340823970037453%","can",8,"0.46642565524709234%","oc",5,"0.2532928064842958%","or",3,"0.28664700238525953%","determine",4,"0.2473716759431045%","improve",2,"0.9900990099009901%","by",1,"0.6369426751592356%","groups'",3,"0.9868421052631579%"
"ba",3,"0.5639097744360902%","symptoms",1,"0.7936507936507936%","resveratrol",4,"0.4694835680751174%","cognitive",2,"0.21645021645021645%","extension",1,"1.7241379310344827%","as",1,"1.694915254237288%","clinical",1,"0.49019607843137253%","anesthetic",3,"0.37878787878787884%","discuss",1,"0.37593984962406013%","including",2,"0.1949317738791423%","challenge",6,"0.8064516129032258%","recruited",3,"0.46875%","helping",5,"0.2340823970037453%","mad",8,"0.4004004004004004%","music",5,"0.4578754578754579%","scans",3,"0.2557544757033248%","items",4,"0.2473716759431045%","daily",2,"0.9900990099009901%","score",1,"0.6369426751592356%","scores",3,"0.9868421052631579%"
"methods",3,"0.5639097744360902%","in",1,"0.7936507936507936%","as",4,"0.2950960105021917%","impairment",2,"0.21645021645021645%","trial",1,"1.7241379310344827%","an",1,"1.694915254237288%","picture",1,"0.49019607843137253%","disease",3,"0.3261087698173791%","potential",1,"0.37593984962406013%","both",2,"0.1949317738791423%","pet",5,"0.367761795330099%","any",3,"1.9736842105263157%","relationship",5,"0.2340823970037453%","using",7,"0.3222203193360458%","group",5,"0.3492457334681665%","dti",3,"0.2557544757033248%","residents",4,"0.8714596949891068%","treatment",2,"0.9900990099009901%","measure",1,"0.6369426751592356%","risk-benefit",2,"0.4807692307692308%"
"no",3,"0.5639097744360902%","evaluate",1,"0.7936507936507936%","optic",4,"0.23696682464454977%","are",2,"0.21645021645021645%","b1451031",1,"1.7241379310344827%","adjunctive",1,"1.694915254237288%","which",1,"0.49019607843137253%","investigators",3,"0.27342966084687936%","biobehavioral",1,"0.37593984962406013%","through",2,"0.1949317738791423%","patient",5,"0.45243894188485223%","imaging",3,"0.25773195876288657%","medicare",5,"0.21929824561403508%","also",7,"0.2818634720753448%","adults",5,"0.335345405767941%","after",3,"0.28664700238525953%","alzheimer",3,"0.40372326086611793%","or",2,"0.9900990099009901%","personal",1,"0.6369426751592356%","cerebrolysin",2,"0.4807692307692308%"
