"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"a",3,"2.0689655172413794%","for",4,"2.2857142857142856%","disease",6,"0.7228915662650602%","a",28,"1.5196614603950538%","are",14,"0.9065593761689464%","these",6,"1.2987012987012987%","for",25,"1.1902501509433503%","website",9,"0.896414342629482%","cognitive",22,"1.3762198339957885%","for",41,"1.2176943462901049%","with",88,"1.2789377697752011%","be",106,"1.1296972319533913%","for",139,"1.0409264333021178%","be",244,"0.9886677993680384%","be",300,"1.0211018859615526%","is",510,"1.316457305598609%","is",428,"1.4722321696554823%","vascular",2,"2.0%"
"dementia",3,"2.0689655172413794%","be",4,"2.2857142857142856%","a",6,"0.7228915662650602%","study",25,"1.0199835595591789%","may",13,"0.7518167909734176%","cognitive",5,"1.2628475818659868%","or",24,"1.5448585892311493%","is",8,"1.7880857522291786%","study",19,"1.1107686445211804%","is",40,"1.4020235253266637%","for",77,"1.123245309940528%","is",90,"1.0494227649071193%","ad",131,"0.8999451069396786%","study",208,"1.2685039651031524%","is",255,"1.1041289563229428%","for",475,"0.9440407096911806%","be",419,"0.9735490224576347%","dementia",2,"2.0%"
"mild",3,"2.0689655172413794%","and",4,"2.2857142857142856%","will",5,"0.6024096385542169%","is",24,"1.5280897842529524%","dian",13,"0.7458405048766495%","at",5,"1.2628475818659868%","cognitive",20,"1.399438025079814%","information",8,"0.796812749003984%","disease",19,"0.8566414774775805%","be",39,"1.296937844426032%","is",66,"1.2164946598237472%","cognitive",61,"0.9081437692977963%","study",130,"1.2231630442868833%","for",201,"0.8165064827751792%","ad",216,"0.8695277426222169%","study",470,"1.3913777485923344%","study",402,"1.6619611665016678%","apoe4",2,"2.0%"
"mci",3,"2.0689655172413794%","is",3,"1.7142857142857142%","genetic",5,"0.6024096385542169%","be",23,"0.8053934364758728%","be",12,"0.6929503729202525%","biomarkers",5,"1.0822510822510822%","are",17,"0.6843497920355557%","a",6,"1.0932460633655854%","as",18,"1.4738314353304645%","with",33,"1.2617949973552594%","this",62,"1.2991458001113425%","study",58,"0.99519546618883%","cognitive",123,"0.8136008583978701%","this",162,"1.0706174626959322%","study",213,"1.1543882120603899%","this",352,"1.056566587886713%","this",292,"1.1490520954066288%","key",2,"2.0%"
"also",3,"2.0689655172413794%","genes",3,"1.7142857142857142%","cohort",5,"0.6024096385542169%","with",22,"0.8461330110899205%","as",12,"0.8921730648259404%","stroke",5,"1.5337423312883436%","this",16,"0.9012901588804487%","who",6,"0.5976095617529881%","for",17,"0.7265489540653939%","participants",31,"1.2211896461481826%","as",62,"0.6258274069690835%","disease",57,"1.0636101010904353%","is",116,"0.9462219610498736%","ad",151,"0.6868566260781962%","cognitive",179,"0.657758926953829%","ad",315,"0.7371477526484995%","cognitive",241,"0.745213666121637%","this",1,"1.0%"
"cognitively",3,"2.0689655172413794%","are",3,"1.7142857142857142%","research",4,"0.4819277108433735%","ad",22,"0.40570116496056646%","by",11,"0.9321709569635236%","diseases",4,"0.8658008658008658%","subjects",16,"0.9495273764936686%","online",6,"0.5976095617529881%","data",17,"0.8389598703740369%","this",26,"0.8061814638907363%","disease",55,"1.008663759766514%","are",53,"0.330879006048805%","disease",99,"0.8370431190942029%","cognitive",135,"0.8058535568341125%","that",176,"0.449765290759461%","on",294,"0.598037021203966%","ad",226,"0.7652841247837677%","multi-center",1,"1.0%"
"in",3,"2.0689655172413794%","from",3,"1.7142857142857142%","establish",4,"0.4819277108433735%","as",21,"1.0114215729571212%","ad",10,"0.5737234652897304%","it",4,"0.8658008658008658%","mutation",16,"0.3595505617977528%","through",5,"0.49800796812749004%","or",17,"0.6011636960716747%","study",26,"1.163515909572287%","are",50,"0.5396430752290977%","on",52,"0.6239020000092864%","this",91,"0.8984066000854295%","that",133,"0.5875979873969445%","disease",175,"0.9483850211494366%","cognitive",292,"0.6652921437042126%","disease",226,"0.8933072265208694%","study",1,"1.0%"
"research",2,"1.3793103448275863%","diagnosed",3,"1.7142857142857142%","with",4,"1.287371709058456%","other",21,"0.936688066513591%","alzheimer",9,"1.1155132660020135%","biological",4,"1.1366956152232226%","is",15,"0.6869078657579981%","brainhealthregistry",5,"0.49800796812749004%","patients",16,"1.1843576635020614%","-",21,"0.3244392609343376%","that",49,"0.716913434374684%","ad",51,"1.2860998378203876%","patients",90,"0.7890322492878972%","on",131,"0.7910535315161252%","this",173,"0.8668531451811122%","as",281,"0.5678050401571164%","as",220,"0.5638015231587616%","at",1,"1.0%"
"provide",2,"1.3793103448275863%","or",3,"1.7142857142857142%","on",4,"0.4819277108433735%","or",19,"1.2265018512745325%","human",9,"0.5208333333333334%","factors",4,"1.2269938650306749%","that",15,"1.1825730095368407%","org",5,"0.49800796812749004%","ad",16,"0.5095275254998975%","alzheimer",20,"1.0680252309384004%","at",48,"0.43053121184509635%","dementia",49,"0.5210683811975838%","alzheimer",83,"0.8285683862768843%","participants",130,"0.5605847681375699%","on",171,"0.5887585923443427%","at",271,"0.5041563175589917%","that",213,"0.48487627532293437%","washington",1,"1.0%"
"alzheimer",2,"1.3793103448275863%","who",3,"1.7142857142857142%","ad",4,"0.4819277108433735%","disease",18,"1.1497721786631239%","is",8,"0.6596955356616644%","with",4,"1.2269938650306749%","disease",15,"0.6013625482617188%","consent",5,"0.49800796812749004%","this",14,"0.7299175786297879%","that",20,"0.6293810295676792%","or",45,"0.5773357967426196%","this",49,"0.7662094600702739%","that",83,"0.5428806359483952%","disease",126,"1.0280535181697712%","as",158,"0.5059666263898711%","that",269,"0.4835040262881574%","on",212,"0.5659365863920479%","wash",1,"1.0%"
"disease",2,"1.3793103448275863%","purpose",2,"1.1428571428571428%","chinese",4,"0.4819277108433735%","mci",16,"0.3393769148555129%","will",8,"0.45997481991457895%","patients",4,"1.2269938650306749%","with",13,"0.538193904218162%","their",5,"0.49800796812749004%","alzheimer",13,"0.7214970164913325%","or",20,"0.8200338348559795%","patients",42,"0.6345080078266327%","by",48,"0.46046618544717166%","on",83,"0.5457658018333074%","or",125,"0.4639607598759846%","are",153,"0.48938650015935087%","disease",259,"0.8380046060930882%","or",206,"0.6077168841063106%","u",1,"1.0%"
"individuals",2,"1.3793103448275863%","genetics",2,"1.1428571428571428%","development",4,"0.4819277108433735%","we",16,"0.279081095982806%","with",8,"0.46146889143877096%","months",4,"1.2269938650306749%","drug",13,"0.45148110316649637%","alzheimer",4,"1.3896793777271865%","that",13,"0.8097317460581005%","leucine",20,"0.1676727028839705%","subjects",42,"0.4383379997224396%","clinical",47,"0.5268482732295837%","participants",78,"0.7353808936453791%","are",119,"0.5394520705231576%","alzheimer",145,"0.8707181428839224%","participants",252,"0.6013225551922102%","alzheimer",199,"0.8436619404159417%","southern",1,"1.0%"
"genetic",2,"1.3793103448275863%","identify",2,"1.1428571428571428%","etc",4,"0.4819277108433735%","at",15,"0.45205855042543847%","who",7,"0.4016064257028113%","neurodegenerative",3,"0.6493506493506493%","alzheimer",12,"0.6967464660745412%","disease",4,"1.3896793777271865%","at",13,"0.6095188442930004%","disease",18,"0.8351419448050998%","cognitive",41,"0.5592818916854461%","at",45,"0.5307292863873391%","or",74,"0.5345455817792782%","alzheimer",118,"0.9840672076309068%","patients",140,"0.5455478627047903%","or",239,"0.5191014566634614%","participants",178,"0.5735506396772181%","california",1,"1.0%"
"all",2,"1.3793103448275863%","that",2,"1.1428571428571428%","this",3,"1.1668897813476127%","are",15,"0.7571799645730024%","an",7,"0.5024628312591486%","a",3,"0.8299471489655539%","changes",12,"0.4430885234516457%","project",4,"0.8940428761145893%","participants",12,"0.2981620149761743%","on",18,"0.5668442373041485%","ad",39,"0.5968733125864126%","that",45,"0.4289041453626501%","brain",73,"0.54744500817842%","by",116,"0.5182255551450852%","at",128,"0.3788089647688694%","alzheimer",238,"0.7970379393847599%","patients",174,"0.486332024627303%","usc",1,"1.0%"
"are",2,"1.3793103448275863%","responsible",2,"1.1428571428571428%","network",3,"0.3614457831325301%","risk",14,"0.3269105693232946%","clinical",7,"0.5024628312591486%","present",3,"0.6493506493506493%","as",12,"0.7659265602846191%","or",4,"0.8940428761145893%","is",11,"0.8593080746563729%","we",18,"0.18058201717680716%","clinical",37,"0.5208960592670522%","or",37,"0.5166585895020288%","as",69,"0.4907419410269395%","at",114,"0.5077168627102465%","dementia",125,"0.39772272658994595%","by",200,"0.40089719449055683%","at",171,"0.4353304941506929%","huntington",1,"1.0%"
"seen",2,"1.3793103448275863%","causing",2,"1.1428571428571428%","biomarkers",3,"0.3614457831325301%","this",13,"1.1361180041316685%","participants",7,"0.5014667835763539%","diagnostic",3,"0.6493506493506493%","may",11,"0.6186984255714764%","other",4,"0.8940428761145893%","imaging",11,"0.7375218888457967%","genetic",17,"0.6229356396146611%","by",33,"0.4092274800822381%","as",35,"0.3786883601530579%","dementia",68,"0.6541808573431428%","as",98,"0.44841618121199855%","or",113,"0.4700432439165022%","patients",199,"0.4800788411102913%","by",157,"0.37890264051462874%","medical",1,"1.0%"
"annually",2,"1.3793103448275863%","in",2,"1.1428571428571428%","we",3,"0.3614457831325301%","testing",12,"0.4788537449135945%","use",7,"0.4045945687511953%","possible",3,"0.6493506493506493%","cells",11,"0.8661417322834646%","are",4,"0.398406374501992%","are",10,"0.4542524580566886%","are",17,"0.518367910917784%","alzheimer",32,"0.7680828243482132%","alzheimer",34,"0.7369570979564737%","investigators",63,"0.3931520401477235%","brain",94,"0.5859967451473395%","clinical",112,"0.4751771142285123%","are",195,"0.3812567740191701%","are",144,"0.3226917673743081%","research",1,"1.0%"
"autopsies",2,"1.3793103448275863%","by",2,"1.1428571428571428%","diagnosis",3,"0.3614457831325301%","from",12,"0.2897809360642844%","disease",6,"0.6443131766358636%","this",3,"0.6493506493506493%","individuals",10,"0.7244361165039785%","brain",4,"0.398406374501992%","from",10,"0.29399352894751835%","at",17,"0.3161118082098938%","on",31,"0.3267988900470578%","an",30,"0.5224025120238021%","are",58,"0.4337118423610467%","dementia",90,"0.4468267408941792%","by",110,"0.4181776615171617%","an",189,"0.387493144177756%","an",133,"0.35821643682202997%","institute",1,"1.0%"
"establish",2,"1.3793103448275863%","collecting",2,"1.1428571428571428%","for",3,"0.3614457831325301%","on",12,"0.2883602941370821%","or",6,"0.3467241983808249%","common",3,"0.6493506493506493%","genetic",10,"0.4585584440162108%","research",4,"0.398406374501992%","brain",9,"0.6353473133097567%","kinetics",16,"0.1341381623071764%","brain",27,"0.4527099920630665%","brain",29,"0.286429617885616%","amyloid",55,"0.38517267815991624%","patients",89,"0.5544783694511328%","investigators",103,"0.30125921513433346%","dementia",168,"0.34883948627346184%","dementia",133,"0.4534645150862011%","hmri",1,"1.0%"
"diagnoses",2,"1.3793103448275863%","genetic",2,"1.1428571428571428%","clinical",3,"0.3614457831325301%","its",12,"0.1972062448644207%","new",6,"0.34523012685663285%","for",3,"0.8299471489655539%","have",9,"0.20224719101123595%","provide",4,"0.398406374501992%","mri",9,"0.3101714614953694%","as",15,"0.3470547688732907%","1",27,"0.3306656002713212%","participants",29,"0.6650107158028512%","by",52,"0.3356573668293608%","an",80,"0.4260924254855494%","brain",103,"0.3721085887347083%","brain",166,"0.41441152009121246%","treatment",121,"0.41336263623609104%","overall",1,"1.0%"
"elderly",2,"1.3793103448275863%","material",2,"1.1428571428571428%","database",3,"0.3614457831325301%","subtypes",12,"0.1972062448644207%","data",6,"0.6443131766358636%","pathologies",3,"0.6493506493506493%","an",9,"0.2672817917999851%","study",4,"0.398406374501992%","an",8,"0.7613855752301323%","infusion",15,"0.12575452716297786%","dementia",26,"0.34141309562694727%","using",28,"0.3156203119755152%","at",51,"0.42034493220344965%","risk",79,"0.3025965256755143%","an",101,"0.3470865230053017%","from",155,"0.2647674975450237%","1",117,"0.3868501971229204%","goal",1,"1.0%"
"control",2,"1.3793103448275863%","multiple",2,"1.1428571428571428%","model",3,"0.3614457831325301%","year",11,"0.34836169543466566%","development",5,"0.2888538280104545%","by",3,"0.8299471489655539%","by",9,"0.31478368574714677%","health",4,"0.398406374501992%","decline",8,"0.7024177701115967%","method",15,"0.12575452716297786%","using",25,"0.39330839673025%","have",28,"0.3566830062982136%","an",51,"0.37149314299936237%","clinical",78,"0.3625049754098056%","intervention",87,"0.3077854500164122%","1",145,"0.2730661608308044%","from",114,"0.2940591214208655%","both",1,"1.0%"
"subjects",2,"1.3793103448275863%","members",2,"1.1428571428571428%","carriers",3,"0.3614457831325301%","years",11,"0.2923278023435656%","1",5,"0.2873597564862625%","clinical",3,"0.8299471489655539%","research",9,"1.086383467569263%","questionnaires",4,"0.398406374501992%","on",8,"0.3359879570038933%","2",13,"0.40006603177999156%","stroke",25,"0.13340448239060831%","agitation",28,"0.25561993204665284%","mci",47,"0.230282238377728%","intervention",69,"0.3362055033186758%","1",84,"0.302404994439983%","their",142,"0.2646675923220406%","clinical",114,"0.3192359851158504%","aa",1,"1.0%"
"be",2,"1.3793103448275863%","dementia",2,"1.1428571428571428%","occurrence",3,"0.3614457831325301%","impairment",10,"0.671864835751222%","all",5,"0.38672209051840784%","occurrence",3,"0.9202453987730062%","health",8,"0.3661127298443302%","ad",3,"1.2900777841016884%","years",8,"0.3338701141780858%","have",13,"0.24541007977415072%","treatment",24,"0.22847961927137578%","investigators",26,"0.26754727178182874%","have",45,"0.3471497218647648%","have",66,"0.2891133759213336%","have",77,"0.27291625033098044%","2",140,"0.24593199818445166%","2",104,"0.3046325542258855%","ppg",1,"1.0%"
"conducted",2,"1.3793103448275863%","may",2,"1.1428571428571428%","genes",3,"0.3614457831325301%","blood",10,"0.37239206625431026%","-",5,"0.48658244839195053%","still",2,"0.4329004329004329%","brain",8,"0.798769208635194%","on",3,"1.2900777841016884%","amyloid",8,"0.2030103623023977%","brain",13,"0.3524020227560051%","have",24,"0.235174947295845%","sleep",26,"0.13709430676910656%","impairment",42,"0.25403491026467323%","3",54,"0.23678338260321916%","from",74,"0.24186605230828287%","have",129,"0.2336739794773933%","intervention",101,"0.21925777397576776%","advance",1,"1.0%"
"standardized",2,"1.3793103448275863%","will",2,"1.1428571428571428%","mutant",3,"0.3614457831325301%","normal",10,"0.22321371433252185%","a",5,"0.5864428062654933%","based",2,"0.5231986827078852%","at",7,"0.2135716181544723%","this",3,"0.7944412824890912%","by",7,"0.5006684128744344%","it",12,"0.4047304930250333%","pet",23,"0.20764088148938775%","care",24,"0.3206844151860582%","intervention",40,"0.2881685585680259%","function",53,"0.2736595515093808%","participants",70,"0.3387827397156316%","intervention",127,"0.21756259168601527%","have",99,"0.22226825240191664%","current",1,"1.0%"
"main",1,"0.6896551724137931%","have",2,"1.1428571428571428%","imaging",3,"0.3614457831325301%","data",10,"0.3253943996907773%","imaging",5,"0.2868617326448652%","on",2,"0.5231986827078852%","these",7,"0.32610811289038305%","for",3,"0.7944412824890912%","also",7,"0.3632856818697527%","blood",12,"0.2738748121317476%","from",22,"0.19856404555782942%","their",24,"0.25746391080032194%","clinical",39,"0.3034509951386885%","also",52,"0.22063837387843172%","treatment",68,"0.4296573897936246%","care",127,"0.1803756546827004%","trial",98,"0.27455090293942763%","knowledge",1,"1.0%"
"objective",1,"0.6896551724137931%","made",2,"1.1428571428571428%","asymptomatic",3,"0.3614457831325301%","disorders",9,"0.5775750850490329%","symptomatic",5,"0.2868617326448652%","analyses",2,"0.5231986827078852%","not",7,"0.2135716181544723%","overall",3,"0.29880478087649404%","2",7,"0.21918829485024882%","insulin",12,"0.18963337547408343%","imaging",21,"0.2527804659418199%","which",23,"0.22717015259618767%","memory",39,"0.27868722617689706%","-",52,"0.14822077571844577%","risk",67,"0.1861876792110616%","clinical",125,"0.2833293032609952%","mild",93,"0.27940120174172384%","on",1,"1.0%"
"this",1,"0.6896551724137931%","a",2,"1.1428571428571428%","progression",3,"0.3614457831325301%","changes",9,"0.3279412659700585%","at",5,"0.38722011435980525%","even",2,"0.4329004329004329%","on",7,"0.3945960901232109%","interested",3,"0.29880478087649404%","adcc",7,"0.17207472959685347%","1",11,"0.30630056488689894%","participants",21,"0.2853085132490375%","may",23,"0.21812941787515217%","mild",38,"0.2841747938658991%","can",52,"0.20430333064934933%","2",66,"0.20874064788567953%","treatment",115,"0.3296997502964323%","care",91,"0.22873953203393435%","contributions",1,"1.0%"
"project",1,"0.6896551724137931%","samples",2,"1.1428571428571428%","multi-center",2,"0.24096385542168675%","diagnosis",9,"0.22149865483019632%","database",5,"0.5864428062654933%","if",2,"0.5231986827078852%","e",7,"0.40336244354400463%","participating",3,"0.29880478087649404%","enrolled",7,"0.1731336510097572%","studies",11,"0.5776756419934372%","we",21,"0.16846871353988752%","from",23,"0.3254547045437065%","tau",37,"0.20213592161824845%","from",50,"0.20201435555610267%","pet",66,"0.23958290826260503%","data",113,"0.1616714853079543%","brain",86,"0.2801722646363158%","particularly",1,"1.0%"
"is",1,"0.6896551724137931%","data",2,"1.1428571428571428%","nationwide",2,"0.24096385542168675%","patients",9,"0.29566239364290164%","pluripotent",5,"0.2888538280104545%","made",2,"0.4329004329004329%","placebo",7,"0.15730337078651685%","age",3,"0.29880478087649404%","3",7,"0.26852797317399085%","human",11,"0.09221998658618377%","also",21,"0.23466388529784643%","nighttime",22,"0.12626262626262627%","using",36,"0.2916135711597567%","not",49,"0.18021343406608942%","care",66,"0.17926371860104864%","test",108,"0.18169189489027934%","subjects",86,"0.41711419265627453%","individuals",1,"1.0%"
"comprehensive",1,"0.6896551724137931%","one",1,"0.5714285714285714%","information",2,"0.24096385542168675%","clinical",9,"0.17734227212106785%","stem",5,"0.2888538280104545%","improve",2,"0.4329004329004329%","more",7,"0.41282091394204856%","participate",3,"0.29880478087649404%","pet",7,"0.1794871794871795%","normal",11,"0.16148021668841728%","may",20,"0.3822624132770416%","patients",21,"0.17620718221330123%","from",35,"0.24931662099020538%","therapy",49,"0.1004929757338507%","can",64,"0.22295881006417426%","group",108,"0.17689674443172124%","group",85,"0.18866490605894648%","with",1,"1.0%"
"clinical",1,"0.6896551724137931%","ways",1,"0.5714285714285714%","family",2,"0.24096385542168675%","every",9,"0.2376380909937747%","national",5,"0.7861635220125787%","patient",2,"0.5231986827078852%","who",6,"0.1348314606741573%","about",3,"0.29880478087649404%","n",7,"0.1794871794871795%","days",11,"0.13673486345803434%","3",18,"0.18816462270981646%","data",21,"0.13997509890234577%","2",35,"0.3738846011117079%","group",48,"0.16932581415324857%","imaging",61,"0.262545244304176%","after",103,"0.14630788733683467%","impairment",85,"0.24695018450302975%","major",1,"1.0%"
"database",1,"0.6896551724137931%","which",1,"0.5714285714285714%","neuropsychology",2,"0.24096385542168675%","imaging",9,"0.19632299213905074%","bna",5,"0.7861635220125787%","errors",2,"0.4329004329004329%","treatment",6,"0.1348314606741573%","how",3,"0.29880478087649404%","pvwmh",7,"0.1794871794871795%","risk",10,"0.5278984900144291%","which",18,"0.22248751696141378%","research",20,"0.11874318826153323%","may",33,"0.2540571300769036%","their",47,"0.16708890289892606%","caregivers",61,"0.22345784201210475%","which",101,"0.1870952608321457%","memory",81,"0.18490245322642238%","genetic",1,"1.0%"
"ad",1,"0.6896551724137931%","risk",1,"0.5714285714285714%","population",2,"0.24096385542168675%","genes",9,"0.14790468364831552%","into",5,"0.28935185185185186%","which",2,"0.4329004329004329%","their",6,"0.2941777323799796%","email",3,"0.29880478087649404%","dementia",6,"0.3397624990545345%","has",10,"0.35377474462560954%","their",18,"0.292212020814273%","also",19,"0.12077833712395915%","which",33,"0.19625876774725862%","investigators",47,"0.1931394421172789%","impairment",60,"0.20910996447465355%","safety",101,"0.3988259930328231%","their",80,"0.16245271056093524%","risk",1,"1.0%"
"other",1,"0.6896551724137931%","factor",1,"0.5714285714285714%","treatment",2,"0.24096385542168675%","genetic",8,"0.6052976140194596%","future",5,"0.28935185185185186%","due",2,"0.4329004329004329%","age",6,"0.4731762685479479%","diagnosis",2,"1.1904761904761905%","memory",6,"0.32546594249781496%","age",10,"0.16500937045161873%","it",18,"0.1990501919931676%","biomarkers",19,"0.20356159647920852%","decline",33,"0.21371814070890296%","research",46,"0.19792528130065568%","biomarkers",59,"0.22250183640512952%","3",99,"0.17497749705662718%","randomized",77,"0.32532621182989013%","factor",1,"1.0%"
"forms",1,"0.6896551724137931%","late",1,"0.5714285714285714%","platform",2,"0.24096385542168675%","alzheimer",8,"0.6052976140194596%","transplantation",5,"0.28935185185185186%","different",2,"0.4329004329004329%","each",6,"0.1348314606741573%","clinical",2,"0.6948396888635933%","during",6,"0.39840637450199207%","their",10,"0.2677878679111975%","an",17,"0.1880063750308828%","aging",18,"0.27377494675825986%","pet",32,"0.2181813565215006%","people",44,"0.12300657177426731%","tau",59,"0.20634000267453476%","subjects",99,"0.27024732952289027%","weeks",73,"0.2585997022360068%","for",1,"1.0%"
"cognitive",1,"0.6896551724137931%","onset",1,"0.5714285714285714%","1",2,"0.24096385542168675%","longitudinal",8,"0.2506418257278253%","this",4,"0.4297081257043749%","symptoms",2,"0.4329004329004329%","arm",6,"0.1348314606741573%","but",2,"1.1904761904761905%","months",6,"0.4145067361846264%","they",10,"0.19461449790044552%","mri",16,"0.15150386350209744%","health",18,"0.09048375324814804%","research",32,"0.20769434334659684%","effects",43,"0.3876863367350229%","has",59,"0.16435828845289543%","investigators",98,"0.19324175542662475%","data",72,"0.17502493330452082%","late-onset",1,"1.0%"
