"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"tensor",6,"1.2605042016806722%","iv",6,"0.9771986970684039%","or",21,"0.6567837732919255%","for",78,"1.122171275852517%","is",335,"1.4956560563296408%","with",141,"1.2228740790358357%","partners",32,"0.6994535519125683%","is",3,"1.8987341772151898%"
"alzheimer",6,"1.2605042016806722%","infusion",6,"0.9771986970684039%","symptoms",19,"0.9261775362318841%","disease",55,"0.9917748895297585%","for",312,"1.0359797170695255%","study",125,"1.0537427748243542%","loneliness",30,"0.6557377049180327%","in",3,"1.8987341772151898%"
"a",5,"1.050420168067227%","study",5,"2.3527599260498286%","be",19,"0.7232472891440284%","cognitive",47,"0.8875063197478829%","study",283,"1.3969051861411679%","is",96,"0.7614185736599124%","with",28,"0.9277970102221019%","intranasal",3,"1.8987341772151898%"
"with",5,"1.050420168067227%","is",4,"1.6770842503741525%","ad",18,"1.2672295875420876%","this",45,"1.019264766156615%","that",206,"0.5868665929355915%","this",95,"0.7312159478546777%","be",27,"1.7371082882970381%","using",2,"1.2658227848101267%"
"which",5,"1.050420168067227%","conditions",4,"0.6514657980456026%","dementia",17,"1.1389499942489072%","study",45,"1.1013536538727133%","this",205,"1.1194475755408513%","as",94,"0.5648453115649877%","is",25,"1.0872266506948731%","to",2,"1.2658227848101267%"
"to",5,"1.050420168067227%","that",4,"0.6514657980456026%","have",16,"0.5976643374741201%","ad",37,"0.504587482375794%","ad",183,"0.7624142677872922%","dementia",86,"0.613264936676155%","on",23,"0.9092791340697933%","intra-nasally",2,"1.2658227848101267%"
"it",4,"0.8403361344537815%","be",4,"0.6514657980456026%","that",16,"0.4644636387163561%","that",37,"0.6732583454950467%","or",176,"0.5800004204639546%","by",78,"0.54851876983123%","ad",22,"0.7639558555662701%","by",2,"1.2658227848101267%"
"by",4,"0.8403361344537815%","with",4,"0.6514657980456026%","will",15,"1.0084459371144154%","be",37,"0.5526045709548534%","participants",167,"0.5962174677217822%","cognitive",75,"0.6519615115700487%","adrd",22,"0.7639558555662701%","levels",2,"1.2658227848101267%"
"patients",4,"0.8403361344537815%","procedure",4,"0.6514657980456026%","by",14,"0.5437396741744568%","on",37,"0.4276816426501583%","patients",161,"0.6006419780708799%","at",74,"0.4798274489989746%","for",18,"0.9996084135584494%","blood",2,"1.2658227848101267%"
"impairment",4,"0.8403361344537815%","on",3,"1.0014085746984769%","these",13,"0.510223220821047%","alzheimer",33,"0.7896737674926466%","at",160,"0.4701405435283061%","intervention",73,"0.5407986702388471%","meaning",18,"0.39344262295081966%","this",2,"1.2658227848101267%"
"or",4,"0.8403361344537815%","at",3,"1.0014085746984769%","brain",13,"0.548365055837882%","from",33,"0.42965343174256176%","as",151,"0.5150247002345036%","on",64,"0.49622943357073585%","that",17,"0.7127443657417364%","effects",2,"1.2658227848101267%"
"from",4,"0.8403361344537815%","by",3,"1.0014085746984769%","study",13,"0.7641078225317356%","dementia",32,"0.6170909403864527%","by",149,"0.38286013640831995%","1",64,"0.5499772753195338%","videos",17,"0.3715846994535519%","an",2,"1.2658227848101267%"
"including",4,"0.8403361344537815%","orthopedic",3,"0.48859934853420195%","may",12,"0.42604813664596275%","patients",32,"0.4282342069954078%","disease",145,"0.8451302259566686%","care",59,"0.4628436721484118%","life",16,"0.34972677595628415%","delivery",2,"1.2658227848101267%"
"for",3,"0.6302521008403361%","neurologic",3,"0.48859934853420195%","on",12,"0.6671202187506536%","by",32,"0.3238270881414822%","are",142,"0.33916605980012954%","an",58,"0.47855093666007625%","study",14,"1.2206427721853375%","on",2,"1.2658227848101267%"
"diagnosis",3,"0.6302521008403361%","urologic",3,"0.48859934853420195%","disease",11,"0.3165437370600414%","or",30,"0.5208165989296777%","on",133,"0.5220274791069676%","are",56,"0.34068698282092663%","aim",14,"0.42216718428535865%","and",2,"1.2658227848101267%"
"cognitive",3,"0.6302521008403361%","autoimmune",3,"0.48859934853420195%","as",11,"0.49414466873706003%","an",29,"0.39681422180922565%","dementia",127,"0.660329903450412%","2",54,"0.4131646910647329%","reload-c",13,"0.28415300546448086%","csf",2,"1.2658227848101267%"
"years",3,"0.6302521008403361%","renal",3,"0.48859934853420195%","changes",11,"0.27214350414078675%","at",21,"0.23094602716829976%","alzheimer",124,"0.8372339222654065%","participants",54,"0.46320981037718556%","as",12,"0.40383585128040284%","examine",2,"1.2658227848101267%"
"neurological",3,"0.6302521008403361%","cardiac",3,"0.48859934853420195%","stromal",11,"0.22774327122153207%","as",21,"0.30304156792025766%","cognitive",115,"0.4757476938331145%","that",50,"0.38059837514291966%","this",12,"0.5780702342658178%","with",2,"1.2658227848101267%"
"stages",3,"0.6302521008403361%","pulmonary",3,"0.48859934853420195%","patients",10,"0.5622412008281573%","ect",21,"0.1337579617834395%","have",113,"0.32159763108877554%","clinical",50,"0.42769848659868587%","purpose",12,"0.3784513372908231%","sniff",1,"0.6329113924050633%"
"more",3,"0.6302521008403361%","patients",3,"0.48859934853420195%","which",10,"0.5687953225317356%","are",19,"0.3156984684412921%","an",104,"0.28333171123532014%","or",50,"0.3572774899090594%","interventions",12,"0.26229508196721313%","3-week",1,"0.6329113924050633%"
"protein",3,"0.6302521008403361%","or",3,"0.48859934853420195%","tau",10,"0.8417508417508417%","treatment",18,"0.3025625954754577%","intervention",100,"0.353763292883682%","ad",49,"0.48079159127803056%","n",12,"0.26229508196721313%","aptar",1,"0.6329113924050633%"
"anisotropy",3,"0.6302521008403361%","injection",3,"0.48859934853420195%","cells",10,"0.20703933747412007%","brain",18,"0.28817076111102496%","brain",91,"0.27048313467952984%","health",46,"0.43779682052761437%","reduce",10,"0.3601200042858674%","involve",1,"0.6329113924050633%"
"so",3,"0.6302521008403361%","each",3,"0.48859934853420195%","cellular",10,"0.20703933747412007%","participants",17,"0.3172021430965707%","1",87,"0.34235501974196875%","pwd",45,"0.18866919197698648%","by",10,"0.3601200042858674%","administer",1,"0.6329113924050633%"
"white",2,"0.42016806722689076%","up",3,"0.48859934853420195%","participants",9,"0.5859375%","mild",17,"0.34226080167323814%","care",87,"0.32954214581049074%","disease",44,"0.5467001405755187%","persons",10,"0.2185792349726776%","through",1,"0.6329113924050633%"
"matter",2,"0.42016806722689076%","this",2,"1.3513513513513513%","group",9,"0.24980655415438024%","which",17,"0.2528466965464825%","from",86,"0.27830843117801746%","patient",44,"0.18346938279883884%","program",9,"0.8028871020830395%","each",1,"0.6329113924050633%"
"most",2,"0.42016806722689076%","imaging",2,"1.3513513513513513%","use",9,"0.24980655415438024%","amyloid",17,"0.43843079569624194%","research",81,"0.24856515444263821%","patients",44,"0.33449688290019974%","concepts",9,"0.19672131147540983%","participant",1,"0.6329113924050633%"
"dementia",2,"0.42016806722689076%","peripheral",2,"0.8385421251870763%","stem",9,"0.18633540372670807%","i",17,"0.09704583233994998%","2",80,"0.3629694347519459%","alzheimer",42,"0.5477743004438581%","via",9,"0.19672131147540983%","nose",1,"0.6329113924050633%"
"brain",2,"0.42016806722689076%","mci",2,"1.3513513513513513%","cell",9,"0.18633540372670807%","clinical",16,"0.5252199219806648%","may",74,"0.21211394285378574%","treatment",42,"0.40773485498667106%","at",9,"0.5451900774462397%","hormone",1,"0.6329113924050633%"
"memory",2,"0.42016806722689076%","due",2,"1.3513513513513513%","body",9,"0.18633540372670807%","data",16,"0.20194645133283737%","health",74,"0.19327088186210156%","training",40,"0.39580147197169824%","which",8,"0.7410264652309011%","that",1,"0.6329113924050633%"
"progressive",2,"0.42016806722689076%","ad",2,"1.3513513513513513%","onset",8,"0.5717876879561662%","cognition",15,"0.25282879950399134%","group",70,"0.24654648480672123%","phase",40,"0.3351566367233495%","existing",8,"0.17486338797814208%","produced",1,"0.6329113924050633%"
"age",2,"0.42016806722689076%","time",2,"0.8385421251870763%","clinical",8,"0.5273874550369115%","impairment",15,"0.2732665880086947%","exercise",70,"0.11496575058397432%","from",39,"0.2523061050395346%","increasing",8,"0.17486338797814208%","body",1,"0.6329113924050633%"
"involves",2,"0.42016806722689076%","efficacy",2,"0.8385421251870763%","yod",8,"0.6734006734006734%","these",15,"0.28264712506915146%","randomized",69,"0.4354012311280771%","data",38,"0.17795578659327943%","from",8,"0.23294151563994706%","it",1,"0.6329113924050633%"
"physical",2,"0.42016806722689076%","safety",2,"0.8385421251870763%","system",8,"0.29257377083464037%","have",15,"0.14206893745110308%","clinical",69,"0.27524766859348504%","their",38,"0.20314912352951642%","through",8,"0.17486338797814208%","works",1,"0.6329113924050633%"
"evaluation",2,"0.42016806722689076%","treatment",2,"0.8385421251870763%","often",8,"0.16563146997929606%","research",15,"0.25476513569369286%","their",67,"0.19191998808437602%","staff",38,"0.11857114533944861%","platform",8,"0.17486338797814208%","lowering",1,"0.6329113924050633%"
"laboratory",2,"0.42016806722689076%","following",2,"0.3257328990228013%","loss",8,"0.16563146997929606%","test",15,"0.2937834224598931%","lactate",67,"0.03897524199553239%","risk",36,"0.411757772885838%","content",8,"0.17486338797814208%","glucose",1,"0.6329113924050633%"
"such",2,"0.42016806722689076%","are",2,"0.3257328990228013%","therapy",8,"0.16563146997929606%","improve",14,"0.2806683836523947%","not",66,"0.15585082804786562%","primary",35,"0.25980949862006536%","pilot",8,"0.465254026287167%","sugar",1,"0.6329113924050633%"
"mri",2,"0.42016806722689076%","information",2,"0.3257328990228013%","common",7,"0.29719915249806556%","resistance",14,"0.12272650376739598%","which",65,"0.1507745462823445%","aim",33,"0.16913511777970786%","cancer",8,"0.17486338797814208%","measuring",1,"0.6329113924050633%"
"other",2,"0.42016806722689076%","along",2,"0.3257328990228013%","neuro-psychiatric",7,"0.4557291666666667%","quality",14,"0.12341207214571208%","these",62,"0.1398559619033327%","3",32,"0.215378835702989%","app",8,"0.639488409272582%","how",1,"0.6329113924050633%"
"until",2,"0.42016806722689076%","as",2,"0.3257328990228013%","their",7,"0.38599961833657487%","grounding",14,"0.0707070707070707%","data",59,"0.10002100335962057%","use",32,"0.17412699841100066%","an",7,"0.41070248911767404%","much",1,"0.6329113924050633%"
"later",2,"0.42016806722689076%","patient",2,"0.3257328990228013%","an",7,"0.23372800207039335%","it",13,"0.23326406332609687%","caregivers",59,"0.24164603440147245%","during",31,"0.15089586582244732%","using",7,"0.38531797512809424%","delivers",1,"0.6329113924050633%"
"have",2,"0.42016806722689076%","data",2,"0.3257328990228013%","seizure",7,"0.4557291666666667%","their",13,"0.1900235142163041%","-",58,"0.1094601433622938%","members",30,"0.08876079543236254%","reducing",7,"0.15300546448087432%","addition",1,"0.6329113924050633%"
"difficulty",2,"0.42016806722689076%","acquisition",2,"0.3257328990228013%","particularly",7,"0.23372800207039335%","effects",13,"0.13547667531712052%","can",56,"0.20792741378342075%","trial",29,"0.35078739961932986%","group",7,"0.15300546448087432%","look",1,"0.6329113924050633%"
"information",2,"0.42016806722689076%","have",2,"0.3257328990228013%","some",7,"0.23372800207039335%","using",12,"0.14891389881763434%","after",56,"0.1413215334922224%","impairment",26,"0.16899967217788786%","usability",7,"0.38531797512809424%","at",1,"0.6329113924050633%"
"daily",2,"0.42016806722689076%","included",2,"0.3257328990228013%","most",7,"0.2527989195788109%","can",12,"0.26303591865150866%","treatment",55,"0.1672305218920497%","each",26,"0.10968580003776784%","outcomes",7,"0.2691617198044843%","administered",1,"0.6329113924050633%"
"measurement",2,"0.42016806722689076%","has",2,"0.3257328990228013%","from",7,"0.33534098751490055%","severe",12,"0.17995333986133116%","subjects",55,"0.3331949716201752%","weeks",26,"0.266678181880931%","investigators",7,"0.15300546448087432%","memory",1,"0.6329113924050633%"
"amyloid",2,"0.42016806722689076%","an",2,"0.3257328990228013%","effects",7,"0.14492753623188406%","oral",12,"0.43478260869565216%","patient",55,"0.12023559784013411%","months",26,"0.1808310695811562%","these",7,"0.2691617198044843%","cerebrospinal",1,"0.6329113924050633%"
"neural",2,"0.42016806722689076%","receive",2,"0.3257328990228013%","cognitive",6,"0.36529568458916284%","3",12,"0.2289452214261209%","also",54,"0.14280654861159114%","it",25,"0.1680716856689223%","posttest",7,"0.5595523581135092%","fluid",1,"0.6329113924050633%"
"thread",2,"0.42016806722689076%","series",2,"0.3257328990228013%","mri",6,"0.2764952187506536%","collected",12,"0.1271687454860902%","has",53,"0.20884106794716245%","week",25,"0.25515923644239663%","e",6,"0.530385334933596%","proposed",1,"0.6329113924050633%"
"an",2,"0.42016806722689076%","one",2,"0.3257328990228013%","this",6,"0.21302406832298137%","weeks",11,"0.15765768243688355%","blood",52,"0.14302358457318032%","after",25,"0.20402291065482817%","intervention",6,"0.2726883102967963%","whether",1,"0.6329113924050633%"
"can",2,"0.42016806722689076%","more",2,"0.3257328990228013%","also",6,"0.36529568458916284%","moderate",11,"0.24981124936728055%","who",52,"0.15276401718878987%","test",25,"0.2185988880202834%","their",6,"0.24730379630721652%","can",1,"0.6329113924050633%"
"microstructure",2,"0.42016806722689076%","nebulizer",2,"0.3257328990228013%","for",6,"0.25742430124223603%","function",11,"0.22597197196949237%","it",51,"0.1961122250680309%","exercise",24,"0.23246590962783462%","web-based",6,"0.13114754098360656%","be",1,"0.6329113924050633%"
"fiber",2,"0.42016806722689076%","protocols",2,"0.3257328990228013%","1",6,"0.3843666020975804%","investigators",11,"0.12467508938765734%","aim",51,"0.20328946033609613%","also",24,"0.11903222084202217%","32",6,"0.13114754098360656%","used",1,"0.6329113924050633%"
"orientation",2,"0.42016806722689076%","follow",2,"0.3257328990228013%","year",6,"0.36529568458916284%","diagnosis",11,"0.1751199139357999%","3",50,"0.2195684318067142%","brain",24,"0.22965401192262966%","partners'",6,"0.13114754098360656%","adults",1,"0.6329113924050633%"
"measures",2,"0.42016806722689076%","category",2,"0.3257328990228013%","activity",6,"0.36529568458916284%","scores",11,"0.056874477256642866%","using",49,"0.10494838115541331%","family",24,"0.11166617903484402%","randomized",5,"0.3923711561127183%","preclinical",1,"0.6329113924050633%"
"degree",2,"0.42016806722689076%","1",2,"0.3257328990228013%","has",6,"0.25742430124223603%","blood",11,"0.13432095457162235%","investigators",49,"0.16171804370961104%","caregivers",24,"0.19397096822574772%","caregiver",5,"0.8169934640522877%","alzheimer",1,"0.6329113924050633%"
"index",2,"0.42016806722689076%","3",2,"0.3257328990228013%","been",6,"0.23209498583139887%","early",11,"0.35476126580245576%","safety",48,"0.42764104768880346%","have",23,"0.1616639910480188%","sense",5,"0.25083038679952857%","disease",1,"0.6329113924050633%"
"has",2,"0.42016806722689076%","6",2,"0.3257328990228013%","associated",6,"0.21302406832298137%","between",11,"0.1703879019356541%","all",47,"0.10977955525279712%","they",23,"0.08825788937987555%","i",5,"0.5085274114363282%","cognitively",1,"0.6329113924050633%"
"degeneration",1,"0.21008403361344538%","post",2,"0.3257328990228013%","more",6,"0.3146370537674886%","other",11,"0.19091060844267774%","mild",47,"0.4274959331679737%","randomized",23,"0.36055856164569133%","are",5,"0.25083038679952857%","normal",1,"0.6329113924050633%"
"ad",1,"0.21008403361344538%","occur",2,"0.3257328990228013%","investigator",6,"0.5050505050505051%","assessment",11,"0.16578877090302852%","adrd",47,"0.14507319633801932%","measures",23,"0.11773683518569751%","1",5,"0.25083038679952857%","but",1,"0.6329113924050633%"
"common",1,"0.21008403361344538%","10",2,"0.3257328990228013%","autologous",6,"0.12422360248447205%","exercise",11,"0.13139834143551615%","studies",46,"0.11729088867480225%","game",23,"0.057593589583072494%","2",5,"0.25083038679952857%","abnormal",1,"0.6329113924050633%"
"cause",1,"0.21008403361344538%","years",2,"0.3257328990228013%","demyelination",6,"0.12422360248447205%","apathy",11,"0.11982570806100219%","efficacy",46,"0.3446307919256299%","changes",22,"0.23173685257486945%","than",5,"0.1092896174863388%","brain",1,"0.6329113924050633%"
"elderly",1,"0.21008403361344538%","purpose",1,"0.6756756756756757%","other",5,"0.25579128500324155%","also",10,"0.10639298744939503%","memory",46,"0.10796606950754174%","feasibility",22,"0.17715696279459522%","delivered",5,"0.1092896174863388%","hallmark",1,"0.6329113924050633%"
"accountings",1,"0.21008403361344538%","based",1,"0.6756756756756757%","imaging",5,"0.33833335293933114%","most",10,"0.17844775262169482%","between",45,"0.1264035585620735%","which",22,"0.15112340506900704%","virtual",5,"0.1092896174863388%","peptide",1,"0.6329113924050633%"
"60-70",1,"0.21008403361344538%","flutemetamol-pet",1,"0.6756756756756757%","current",5,"0.27486220251165905%","use",10,"0.14921239458198896%","stimulation",44,"0.1380273196982675%","evaluate",22,"0.21220590074962387%","meetings",5,"0.1092896174863388%","aβ",1,"0.6329113924050633%"
"all",1,"0.21008403361344538%","senile",1,"0.6756756756756757%","at",5,"0.25579128500324155%","markers",10,"0.16095445412984785%","weeks",43,"0.24715912743139837%","placebo",22,"0.2731188543599233%","weekly",5,"0.22544587280994877%","reliably",1,"0.6329113924050633%"
"demented",1,"0.21008403361344538%","plaque",1,"0.6756756756756757%","than",5,"0.27486220251165905%","group",10,"0.43011810731803346%","participant",43,"0.07995410403844772%","baseline",22,"0.17668918235500938%","3",5,"0.1092896174863388%","deliver",1,"0.6329113924050633%"
"cases",1,"0.21008403361344538%","investigate",1,"0.6756756756756757%","sensory",5,"0.14791990165631472%","intervention",10,"0.21888682467315085%","been",42,"0.10916022866818297%","i",22,"0.09851246252030153%","rct",5,"0.1092896174863388%","four",1,"0.6329113924050633%"
"neuro-pathological",1,"0.21008403361344538%","blood",1,"0.6756756756756757%","neuropsychiatric",5,"0.3255208333333333%","life",10,"0.11418518791882785%","trial",42,"0.18916931209826607%","e",22,"0.10580440131499073%","health",5,"0.3416021281335588%","times",1,"0.6329113924050633%"
"determined",1,"0.21008403361344538%","biochemical",1,"0.6756756756756757%","progressive",5,"0.1669908191647322%","symptoms",9,"0.11093350822650186%","each",41,"0.09009432825924318%","we",21,"0.13965854815501674%","people",5,"0.3416021281335588%","daily",1,"0.6329113924050633%"
"presence",1,"0.21008403361344538%","brain",1,"0.6756756756756757%","subtype",5,"0.42087542087542085%","over",9,"0.10295115947982189%","months",41,"0.12894259112260503%","one",21,"0.15656613182131535%","not",5,"0.1092896174863388%","over",1,"0.6329113924050633%"
"neurofibrillary",1,"0.21008403361344538%","mri",1,"0.6756756756756757%","protein",5,"0.29393312002007654%","who",9,"0.3865312116719766%","one",40,"0.10670774344853579%","safety",21,"0.29273245296342476%","mental",5,"0.3416021281335588%","4",1,"0.6329113924050633%"
"tangles",1,"0.21008403361344538%","biomarkers",1,"0.6756756756756757%","amyloid",5,"0.42087542087542085%","neurodegenerative",9,"0.1570454434619486%","if",40,"0.09290327182403053%","mild",21,"0.1850925594211121%","dr",5,"0.1092896174863388%","week",1,"0.6329113924050633%"
"senile",1,"0.21008403361344538%","research",1,"0.6756756756756757%","via",5,"0.10351966873706003%","but",9,"0.11917836960234132%","use",39,"0.08639928386594216%","efficacy",21,"0.22345477165919148%","caregivers'",5,"0.39968025579536376%","period",1,"0.6329113924050633%"
"plaques",1,"0.21008403361344538%","completely",1,"0.6756756756756757%","ability",5,"0.10351966873706003%","there",9,"0.1898555181797489%","evaluate",39,"0.30339131291805527%","outcomes",21,"0.1908884370918907%","pretest",5,"0.39968025579536376%","we",1,"0.6329113924050633%"
"frequently",1,"0.21008403361344538%","independent",1,"0.6756756756756757%","issues",5,"0.10351966873706003%","disorders",9,"0.13475713693797328%","assess",39,"0.28778745017577506%","-",21,"0.1334087799148584%","compared",5,"0.39968025579536376%","also",1,"0.6329113924050633%"
"starts",1,"0.21008403361344538%","intellectual",1,"0.6756756756756757%","but",5,"0.10351966873706003%","behavioral",9,"0.08806209859993122%","changes",37,"0.1174685754481045%","can",20,"0.15876537754939646%","clinical",4,"0.42859136027725553%","treatment",1,"0.6329113924050633%"
"but",1,"0.21008403361344538%","property",1,"0.6756756756756757%","include",5,"0.10351966873706003%","after",9,"0.16131631376715838%","therapy",36,"0.19078726856752365%","5",20,"0.1324901518968088%","trial",4,"0.42859136027725553%","cognition",1,"0.6329113924050633%"
"invariably",1,"0.21008403361344538%","rights",1,"0.6756756756756757%","cns",5,"0.10351966873706003%","each",9,"0.12804696602043056%","levels",36,"0.1069322305091584%","including",20,"0.14381571833504653%","system",4,"0.34512871862587075%","biomarkers",1,"0.6329113924050633%"
"followed",1,"0.21008403361344538%","neuropsychological",1,"0.6756756756756757%","motor",5,"0.10351966873706003%","through",9,"0.12667434538939798%","receive",36,"0.1093197546160325%","period",20,"0.1133877663123937%","mhs",4,"0.6535947712418301%","cerebral",1,"0.6329113924050633%"
"global",1,"0.21008403361344538%","test",1,"0.6756756756756757%","autoimmune",5,"0.10351966873706003%","health",9,"0.20129601518334553%","e",36,"0.06537779154196939%","not",20,"0.08561788826994196%","or",4,"0.28705059096406577%","perfusion",1,"0.6329113924050633%"
"major",1,"0.21008403361344538%","tool",1,"0.6756756756756757%","inflammatory",5,"0.10351966873706003%","changes",9,"0.11293137576407539%","related",35,"0.07932073504733686%","related",20,"0.19729937483549886%","support",4,"0.22897246330226081%","if",1,"0.6329113924050633%"
"risk",1,"0.21008403361344538%","same",1,"0.6756756756756757%","processes",5,"0.10351966873706003%","three",9,"0.0927264989415515%","used",35,"0.0642635360251078%","control",20,"0.18146499386121262%","experience",4,"0.22897246330226081%","successful",1,"0.6329113924050633%"
"factor",1,"0.21008403361344538%","investigators",1,"0.6756756756756757%","neural",5,"0.10351966873706003%","perceptions",9,"0.045454545454545456%","other",35,"0.09267083408405974%","two",20,"0.1414297307806378%","alone",4,"0.22897246330226081%","information",1,"0.6329113924050633%"
"prevalence",1,"0.21008403361344538%","early",1,"0.6756756756756757%","tissues",5,"0.10351966873706003%","associated",8,"0.294068008102535%","early",35,"0.18525337421767485%","investigators",20,"0.13092531198068508%","project",4,"0.203587949312681%","gained",1,"0.6329113924050633%"
"doubling",1,"0.21008403361344538%","huperzine",1,"0.6756756756756757%","alzheimer",4,"0.23508735125582955%","both",8,"0.08984220112176448%","baseline",35,"0.08547735469442592%","older",19,"0.15863671575781518%","patients",4,"0.08743169398907104%","from",1,"0.6329113924050633%"
"every",1,"0.21008403361344538%","in",1,"0.6756756756756757%","depression",4,"0.1272159679089027%","different",8,"0.1356487192499109%","testing",35,"0.05632218110521548%","assess",19,"0.28130589690656005%","aims",4,"0.203587949312681%","inform",1,"0.6329113924050633%"
"5",1,"0.21008403361344538%","52",1,"0.6756756756756757%","studies",4,"0.17161620082815734%","stimulation",8,"0.162425329276617%","biomarkers",35,"0.1350372500959011%","these",19,"0.10189081538186653%","6",4,"0.08743169398907104%","design",1,"0.6329113924050633%"
"after",1,"0.21008403361344538%","weeks",1,"0.6756756756756757%","evidence",4,"0.216016433747412%","months",8,"0.14723174914257714%","we",34,"0.10318214628555078%","who",19,"0.1548303236351649%","acceptability",4,"0.203587949312681%","future",1,"0.6329113924050633%"
"65",1,"0.21008403361344538%","randmized",1,"0.6756756756756757%","seen",4,"0.19068711833657484%","studies",8,"0.04567972720838963%","assessment",34,"0.10547057586809107%","group",19,"0.14839634697976684%","scores",4,"0.26166607697448596%","phase",1,"0.6329113924050633%"
"typically",1,"0.21008403361344538%","double-blind",1,"0.6756756756756757%","all",4,"0.2604166666666667%","positive",8,"0.07460754037187159%","people",34,"0.13229351090774072%","4",19,"0.18005085561100292%","expect",4,"0.08743169398907104%","iii",1,"0.6329113924050633%"
"exams",1,"0.21008403361344538%","placebo-controll",1,"0.6756756756756757%","levetiracetam",4,"0.2604166666666667%","receive",8,"0.06425776004067861%","control",34,"0.11546010408066834%","potential",19,"0.08522543269227885%","during",4,"0.08743169398907104%","trials",1,"0.6329113924050633%"
"medical",1,"0.21008403361344538%","determine",1,"0.16286644951140064%","abilities",4,"0.1272159679089027%","not",8,"0.11199900977548945%","individuals",34,"0.2190788612679845%","app",19,"0.053258588216604674%","based",4,"0.203587949312681%","","",""
"history",1,"0.21008403361344538%","amniotic",1,"0.16286644951140064%","quality",4,"0.1272159679089027%","development",8,"0.15346412883607882%","impairment",34,"0.24297485530860402%","effects",18,"0.1858221481282467%","has",4,"0.08743169398907104%","","",""
"mental",1,"0.21008403361344538%","umbilical",1,"0.16286644951140064%","life",4,"0.1272159679089027%","one",8,"0.06911951029598087%","social",34,"0.0806148179929418%","value",18,"0.081495468214527%","including",4,"0.203587949312681%","","",""
"status",1,"0.21008403361344538%","cord",1,"0.16286644951140064%","severity",4,"0.2604166666666667%","objective",8,"0.20147541550994236%","however",32,"0.10961154734566982%","pilot",18,"0.15455074065819574%","applebaum",4,"0.08743169398907104%","","",""
"investigations",1,"0.21008403361344538%","tissue",1,"0.16286644951140064%","without",4,"0.1272159679089027%","-",8,"0.19472315124489037%","potential",32,"0.1214164285819932%","research",18,"0.1052702474306068%","they",4,"0.08743169398907104%","","",""
"could",1,"0.21008403361344538%","categories",1,"0.16286644951140064%","known",4,"0.1272159679089027%","sleep",8,"0.052089522677757974%","phase",32,"0.32566543612429866%","via",18,"0.11114030203030922%","8-week",4,"0.319744204636291%","","",""
