"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"plasma",15,"1.6983695652173914%","as",41,"0.7890239071980645%","clinical",4,"1.694915254237288%","will",4,"2.816901408450704%","study",44,"1.9028591181783443%","be",29,"1.436403841477805%","be",23,"1.2534623379297904%","study",54,"1.412866863663039%","is",101,"1.2610611211109104%","for",98,"0.9960456160603076%","is",47,"1.4104813758606138%","care",79,"0.5828074757499618%","study",30,"1.697911309414009%"
"a",14,"1.4945652173913042%","is",39,"1.1490760021222%","dose",4,"1.694915254237288%","be",4,"2.816901408450704%","is",39,"1.2108782531576523%","or",26,"0.8711988820323112%","cognitive",23,"1.1352899734148623%","with",52,"1.0449066803147222%","be",81,"0.9020464621947432%","be",95,"1.0298431696414874%","with",42,"1.3622199683950151%","dementia",70,"0.8332786632565433%","with",30,"1.0328314195644925%"
"patients",14,"0.9510869565217391%","for",36,"0.9778924426614619%","in",4,"1.694915254237288%","2",3,"2.112676056338028%","patients",38,"0.7422695640756303%","cognitive",22,"1.0103492065202169%","with",22,"1.2697202594851267%","cognitive",49,"0.6808598310195927%","study",77,"1.4272975748906325%","study",74,"1.479113047877552%","be",39,"0.9990432253667959%","is",68,"1.6223153859543866%","on",25,"0.6409118739812781%"
"amyloid",13,"1.766304347826087%","at",33,"0.857449442411718%","2",4,"1.694915254237288%","1",3,"2.112676056338028%","with",37,"1.1191651756894587%","study",16,"0.8865656592748817%","brain",21,"1.0084614650995474%","be",44,"1.0079358981721438%","ad",75,"0.8988949348576706%","or",67,"0.6444086853885985%","this",36,"1.2810663810540324%","study",58,"2.3008994074636946%","data",25,"0.5464203549198119%"
"be",13,"1.0869565217391304%","ad",32,"0.4920049200492005%","participants",4,"1.694915254237288%","placebo",3,"2.112676056338028%","disease",35,"1.9554128553086274%","fmri",16,"0.44518642181413465%","this",20,"1.3720281030942891%","on",40,"0.8488077105699198%","dementia",68,"0.535216794269523%","as",66,"0.7652063466191513%","participants",30,"1.3505786371866055%","intervention",50,"0.4676609377161727%","by",23,"0.6482789970864473%"
"for",13,"0.951086956521739%","cognitive",32,"0.7340855704258631%","a",3,"1.271186440677966%","in",3,"2.112676056338028%","ad",30,"1.1281921148192626%","mci",16,"0.40733892145437545%","for",19,"1.5417600710056807%","ad",39,"1.0298249108537159%","patients",62,"0.7658883735983422%","on",58,"0.6553681846024955%","on",23,"0.5583056197290298%","be",47,"0.8427362754832721%","as",23,"0.8113906670470452%"
"biomarkers",12,"0.8831521739130435%","ckd",29,"0.43231961836613%","lecanemab",3,"1.271186440677966%","ad",3,"2.112676056338028%","this",27,"1.1041376094239026%","trial",13,"0.8847618471246842%","tau",19,"0.7565123343151693%","disease",31,"0.7287340607678059%","this",59,"1.083936168647716%","ad",55,"0.7190975603096755%","as",23,"0.6202764492729438%","that",42,"0.4416583367044654%","rtms",23,"0.2625570776255708%"
"is",11,"1.1548913043478262%","or",27,"0.6794225693887088%","core",3,"1.271186440677966%","weeks",3,"2.112676056338028%","alzheimer",25,"1.4723635480696844%","cr",13,"0.3238664673642252%","ad",16,"1.1018916945074193%","patients",31,"0.6909134635700466%","alzheimer",56,"1.174646411256678%","dementia",55,"0.6375994446750894%","treatment",23,"0.8612780091402851%","this",40,"1.2597977122571928%","this",21,"0.9560387631734091%"
"we",11,"0.8152173913043479%","are",25,"0.4701547943022221%","10",3,"1.271186440677966%","period",2,"1.408450704225352%","on",24,"0.3575032629697529%","is",12,"0.6685020469439574%","are",15,"0.6067239839876166%","at",30,"0.6331147558748654%","disease",54,"1.069203519023373%","this",51,"0.7706127670917876%","or",21,"0.6933433862784267%","caregivers",38,"0.3009658609653776%","participants",21,"1.1344756863650234%"
"ad",11,"0.7472826086956522%","dementia",23,"0.9584513783032049%","mg",3,"1.271186440677966%","-",2,"1.408450704225352%","at",24,"0.678781760504989%","this",12,"1.0720240235081533%","disease",14,"0.6415175940670164%","as",30,"0.5153754536907271%","on",52,"0.6019238942238841%","disease",49,"0.7702308027627038%","by",20,"0.5272684261244512%","as",37,"0.5827394314284053%","stimulation",21,"0.23972602739726026%"
"as",10,"1.0869565217391304%","brain",22,"0.42028868741217285%","kg",3,"1.271186440677966%","for",2,"1.408450704225352%","brain",22,"0.9110379454592109%","tdcs",12,"0.29895366218236175%","on",14,"0.5812206952525723%","alzheimer",28,"0.6742066900148419%","or",51,"0.5533348079591702%","care",49,"0.49651058403399373%","disease",20,"0.5756882943443236%","on",35,"0.9422342708816225%","is",19,"0.7719491345085414%"
"beta",10,"1.358695652173913%","study",22,"0.8254031295952142%","be",3,"1.271186440677966%","due",2,"1.408450704225352%","that",22,"0.6286739218502811%","older",12,"0.4649066911229025%","participants",13,"0.8034285222385689%","this",27,"0.6233622058498709%","as",51,"0.5510986087524029%","that",48,"0.3962799461807561%","subjects",19,"0.5270524032714091%","health",35,"0.5330678789888537%","that",17,"0.42626496697547395%"
"levels",9,"1.154891304347826%","that",21,"0.6218261315381296%","extension",3,"1.271186440677966%","are",2,"1.408450704225352%","dbs",21,"0.13786764705882354%","that",11,"0.5319341266947646%","deposition",13,"0.5064521948975894%","by",26,"0.5503874353378723%","by",49,"0.3885672203051698%","at",47,"0.47765961214380775%","ad",18,"0.695089173050436%","investigators",30,"0.27799864064466173%","program",17,"0.8738277919863598%"
"are",9,"0.8831521739130435%","on",20,"0.5695067336163988%","phase",3,"1.271186440677966%","receive",2,"1.408450704225352%","stimulation",17,"0.11160714285714286%","sham",11,"0.27404085700049824%","older",12,"0.6170173172102079%","icu",25,"0.25716585492298666%","care",47,"0.4811405326186416%","are",46,"0.5403645980152227%","are",18,"0.5566403207129155%","are",29,"0.2799642917489764%","at",16,"0.2704332477481761%"
"alzheimer",8,"1.0190217391304348%","mri",20,"0.38766805709137947%","using",2,"0.847457627118644%","every",2,"1.408450704225352%","cognitive",17,"1.011019500271066%","data",10,"0.4454327850560647%","by",11,"0.44965836030016687%","are",24,"0.5444090182923883%","intervention",43,"0.38054861745618734%","alzheimer",45,"0.7294375269647627%","at",17,"0.3865196688624119%","by",29,"0.5702563960830265%","are",15,"0.282433521353747%"
"study",8,"0.7472826086956521%","this",19,"0.5421574436311783%","with",2,"0.847457627118644%","is",2,"1.408450704225352%","by",17,"0.5156492786345611%","at",10,"0.94896449196151%","adults",11,"0.5794233322478018%","an",24,"0.4700255285748541%","that",43,"0.42433925274032336%","who",44,"0.307320106695716%","safety",17,"0.6917795804836606%","alzheimer",28,"1.13831632153912%","project",15,"0.6599516518936343%"
"that",8,"0.6793478260869565%","changes",18,"0.2720769604833794%","response",2,"0.847457627118644%","this",1,"0.704225352112676%","memory",17,"0.46489930106658045%","ad",9,"0.2744375424164663%","amyloid",10,"0.5911225043462854%","brain",24,"0.45140696822485854%","cognitive",39,"0.4487664384290433%","by",43,"0.5564729607671646%","an",15,"0.4001040411081275%","interventions",28,"0.181761071563578%","an",14,"0.5601894741621505%"
"mri",8,"0.5434782608695652%","by",18,"0.3611259759281707%","randomization",2,"0.847457627118644%","consists",1,"0.704225352112676%","are",17,"0.47690933242371614%","investigators",9,"0.23003793899981118%","that",10,"0.4193107010865282%","delirium",23,"0.24057588951330225%","at",39,"0.4808900327628605%","participants",43,"0.7513538061683612%","brain",14,"0.39781601836792835%","disease",27,"1.09727295188122%","from",12,"0.38383754450779817%"
"onset",7,"0.9510869565217391%","visit",18,"0.26833631484794274%","3",2,"0.847457627118644%","periods",1,"0.704225352112676%","an",15,"0.2776543309631545%","dementia",9,"0.2865624763589218%","at",10,"0.4455417470120261%","or",22,"0.46299455673894035%","their",39,"0.43001103522520545%","intervention",37,"0.26128163402307714%","older",14,"0.4779722331949604%","treatment",25,"0.3848851189667108%","eeg",12,"0.136986301369863%"
"baseline",7,"0.5434782608695652%","early",17,"0.2613776137761378%","levels",2,"0.847457627118644%","evaluating",1,"0.704225352112676%","as",15,"0.6119764286622899%","participants",9,"0.34890970608107225%","or",10,"0.44322236990704095%","years",21,"0.3807224525633914%","are",38,"0.36455981924941033%","patients",36,"0.5564685157872445%","alzheimer",13,"0.4875804280093071%","their",25,"0.24284208097469012%","all",12,"0.31023368251410155%"
"brain",7,"0.7472826086956521%","vsep",17,"0.2613776137761378%","are",2,"0.847457627118644%","efficacy",1,"0.704225352112676%","course",15,"0.5122950819672131%","mild",8,"0.2138591723625075%","clinical",9,"0.5792206110140946%","care",21,"0.23864308723949773%","an",33,"0.396492517774756%","months",36,"0.39620941113116015%","placebo",13,"0.4076399095909782%","burden",25,"0.0951813938107252%","protocol",10,"0.31231867605136354%"
"also",7,"0.47554347826086957%","an",17,"0.3928470237733916%","given",2,"0.847457627118644%","safety",1,"0.704225352112676%","patient",14,"0.17643776260504201%","are",8,"0.3060492745937134%","alzheimer",9,"0.3986767064144977%","that",20,"0.4153362703960425%","brain",33,"0.6699900096552476%","an",35,"0.32484349727552975%","who",13,"0.6200944018314446%","participants",24,"1.1988579994400501%","or",10,"0.3979113407527414%"
"this",6,"0.5434782608695652%","from",17,"0.48002571640046454%","biweekly",2,"0.847457627118644%","versus",1,"0.704225352112676%","dementia",14,"0.662700041093406%","as",8,"0.3533602241918885%","cerebral",9,"0.3591767898902257%","older",20,"0.21135217461393246%","phase",30,"0.3638302091490658%","their",33,"0.27649386390148195%","period",12,"0.46577558245025164%","caregiver",24,"0.13263799685449296%","experience",10,"0.3665488828050577%"
"decline",6,"0.8152173913043478%","patients",17,"0.5985858287551763%","once",2,"0.847457627118644%","who",1,"0.704225352112676%","amyloid",13,"0.30815975602474543%","mdd",8,"0.19930244145490783%","as",9,"0.4103050024850545%","have",19,"0.40573000627636235%","group",29,"0.3983231283005661%","cognitive",31,"0.4533499179894763%","1",12,"0.3800572469150077%","an",23,"0.21305374032547744%","risk",10,"0.32410164780623385%"
"assessment",6,"0.6114130434782609%","disease",15,"0.49725862789240655%","every",2,"0.847457627118644%","carry",1,"0.704225352112676%","their",13,"0.3725582307399935%","on",7,"0.2690115354693945%","individuals",9,"0.36840223899799984%","impairment",19,"0.2578330046376167%","participants",27,"0.42854631871936305%","which",28,"0.2516075236654213%","gnrh",12,"0.18256503879507074%","adrd",23,"0.19206175081532187%","safety",9,"0.48338534687317747%"
"tomography",6,"0.8152173913043478%","decline",15,"0.31359777256026944%","weeks",2,"0.847457627118644%","psen1",1,"0.704225352112676%","participants",13,"0.6754715647482957%","using",7,"0.19185771336216398%","these",9,"0.4290595672732128%","after",18,"0.32754860587051615%","sleep",27,"0.2032214360981484%","after",27,"0.22739265253733087%","evaluate",11,"0.5196141843359051%","cognitive",23,"0.3979569879143362%","2",9,"0.3784221561964284%"
"at",6,"0.4076086956521739%","functional",14,"0.2885863860971969%","separate",2,"0.847457627118644%","e280a",1,"0.704225352112676%","2",12,"0.2680803411827168%","subjects",7,"0.3806666505367238%","not",8,"0.6157850839489081%","risk",17,"0.36463055281118334%","randomized",26,"0.44959637830943316%","6",26,"0.24819193805866463%","have",11,"0.3146954617326106%","or",22,"0.42936050466939624%","1",9,"0.30714060490187733%"
"early",6,"0.4076086956521739%","years",14,"0.3000929416264502%","groups",2,"0.847457627118644%","autosomal-dominant",1,"0.704225352112676%","or",12,"0.5588166525812032%","from",7,"0.5381153286716002%","history",8,"0.40577932450935644%","has",17,"0.25420786695341613%","screening",26,"0.2795647125898131%","clinical",24,"0.38638514310237587%","early",10,"0.39750927868857533%","1",22,"0.33460974950738975%","evaluate",8,"0.4094569953457281%"
"csf",6,"0.4076086956521739%","egfr",14,"0.20870602265951102%","from",2,"0.847457627118644%","mutation",1,"0.704225352112676%","surgery",11,"0.11447938550420168%","were",7,"0.5513843607874672%","we",8,"0.313535530191458%","months",17,"0.3730080699246151%","risk",26,"0.22585149092330886%","mci",24,"0.17881352437908812%","adults",10,"0.32379393516292787%","group",21,"0.26794357769507343%","participant",8,"0.4584807740054946%"
"clinical",6,"0.4076086956521739%","vagus",13,"0.1998769987699877%","mild",2,"0.847457627118644%","do",1,"0.704225352112676%","csf",10,"0.10928693766663292%","decline",7,"0.35322629242135467%","factors",8,"0.3597686334462438%","dementia",17,"0.21230944744804775%","trial",25,"0.37158769824740934%","capable",24,"0.06274837900020916%","also",10,"0.18939695897993034%","partners",21,"0.07347300842279582%","which",8,"0.12131654329391077%"
"2",6,"0.4076086956521739%","if",13,"0.19566877243012143%","alzheimer",2,"0.847457627118644%","not",1,"0.704225352112676%","pet",10,"0.29300707926658%","their",7,"0.402919582674631%","risk",8,"0.3087991544356098%","ltci",17,"0.26340254105980787%","have",24,"0.234787139446287%","have",23,"0.18690614271369715%","patients",10,"0.2612369280477594%","at",20,"0.2192112401876374%","patients",8,"0.11912436207359656%"
"associated",5,"0.6114130434782609%","fnirs",13,"0.1998769987699877%","disease",2,"0.847457627118644%","meet",1,"0.704225352112676%","1",10,"0.21268709013229664%","a4",7,"0.46480743691899074%","pathology",8,"0.2945508100147275%","which",16,"0.429677429669655%","clinical",23,"0.3004715927567557%","brain",22,"0.31338146643961073%","msa",10,"0.13010668748373666%","2",19,"0.25194479261228975%","treatment",8,"0.11912436207359656%"
"late",5,"0.6793478260869565%","which",12,"0.2597064014118402%","treatment",2,"0.847457627118644%","criteria",1,"0.704225352112676%","risk",10,"0.7677637805809202%","care",7,"0.6108202443280978%","effects",8,"0.33252627439489857%","placebo",16,"0.4093955481400995%","treatment",23,"0.2898593948312447%","device",22,"0.22195335494495513%","all",9,"0.20679278881653276%","evaluate",19,"0.41850904944733075%","-",8,"0.091324200913242%"
"mild",5,"0.5434782608695652%","activation",12,"0.18450184501845018%","visit",2,"0.847457627118644%","mild",1,"0.704225352112676%","baseline",9,"0.08667401386784222%","memory",6,"0.1669449081803005%","an",7,"0.3057277972117159%","physical",16,"0.19264023578768102%","mild",22,"0.25193161242041473%","daily",22,"0.18118421657569894%","tacs",9,"0.2802372121823393%","pst",19,"0.06684962353106748%","tms",8,"0.091324200913242%"
"on",5,"0.5434782608695652%","it",12,"0.40918035278976106%","months",2,"0.847457627118644%","cognitive",1,"0.704225352112676%","have",9,"0.2768365296187984%","impairment",6,"0.2511596651322607%","preclinical",7,"0.31948881789137384%","lithium",16,"0.19175455417066156%","from",22,"0.18564614586602285%","investigators",21,"0.1499152531769525%","2",9,"0.3019949167457793%","behavioral",18,"0.1999042093672524%","coil",8,"0.091324200913242%"
"over",5,"0.5434782608695652%","investigators",12,"0.2545630136631148%","until",2,"0.847457627118644%","impairment",1,"0.704225352112676%","test",9,"0.4685921844699418%","subject",6,"0.1669449081803005%","phase",7,"0.31948881789137384%","treatment",15,"0.40400817792280524%","may",20,"0.19616213352123588%","randomized",21,"0.448233197929499%","over",9,"0.3109390539653572%","partner",18,"0.11093136337906973%","week",8,"0.11912436207359656%"
"imaging",5,"0.4076086956521739%","stroke",12,"0.67123215538601%","drug",2,"0.847457627118644%","dementia",1,"0.704225352112676%","has",9,"0.22637577059512332%","weeks",6,"0.24118738410601107%","dementia",7,"0.2680788193539143%","randomized",15,"0.24779525807976907%","family",20,"0.22587709175887183%","trial",21,"0.21651276450571283%","measures",9,"0.1239430967539724%","sessions",18,"0.08389882417996357%","usability",8,"0.32030203385702105%"
"new",5,"0.33967391304347827%","these",11,"0.24339608625144354%","this",1,"0.423728813559322%","thus",1,"0.704225352112676%","during",9,"0.2015332476067654%","rate",6,"0.23827603792449112%","have",7,"0.3489506727313286%","injury",14,"0.22439285888658494%","caregiver",20,"0.15046281105816553%","9",21,"0.15733668570986947%","health",9,"0.24673399065692572%","improve",17,"0.12965794479862064%","lss-mn",8,"0.7843137254901961%"
"mci",5,"0.33967391304347827%","nerve",11,"0.16912669126691268%","multinational",1,"0.423728813559322%","preclinical",1,"0.704225352112676%","health",9,"0.27978916976626717%","group",6,"0.2620463565930264%","interventions",7,"0.42904739239817774%","2",14,"0.30280479973779817%","health",20,"0.16308851767489185%","communities",21,"0.09808922071272409%","effects",8,"0.2070343074823314%","both",17,"0.0913340075273425%","have",7,"0.47623552561870885%"
"tests",5,"0.33967391304347827%","baseline",11,"0.2549026417806969%","multicenter",1,"0.423728813559322%","phase",1,"0.704225352112676%","dose",8,"0.052521008403361345%","improve",6,"0.46954274396873047%","their",6,"0.2510456372663981%","function",13,"0.15328115590633545%","which",20,"0.19699521438651735%","those",21,"0.09550307945971563%","memory",8,"0.24178704950857416%","using",17,"0.26306808868509957%","not",7,"0.39249595244137164%"
"blood",5,"0.33967391304347827%","participant",11,"0.16398330351818724%","double-blind",1,"0.423728813559322%","randomised",1,"0.704225352112676%","pathology",8,"0.052521008403361345%","groups",6,"0.22055809935789117%","neuroimaging",6,"0.25775300871988277%","primary",13,"0.2232244019091675%","can",20,"0.17415351033848417%","primary",20,"0.22294145202982735%","cohort",8,"0.19754409998312436%","support",17,"0.08564238034105927%","based",7,"0.07990867579908675%"
"years",5,"0.33967391304347827%","specific",10,"0.2284885132043356%","placebo-controlled",1,"0.423728813559322%","ratio",1,"0.704225352112676%","settings",8,"0.052521008403361345%","randomized",6,"0.27417129053548184%","it",6,"0.24580425015366655%","biomarkers",12,"0.2783578628337317%","also",20,"0.19439823204391551%","they",20,"0.1476063150569428%","open-label",8,"0.3647491075030184%","effects",17,"0.2237170917481006%","subjects",7,"0.07990867579908675%"
"follow-up",5,"0.33967391304347827%","our",10,"0.1500108918799385%","parallel-group",1,"0.423728813559322%","either",1,"0.704225352112676%","screening",8,"0.052521008403361345%","persons",6,"0.21182406081333136%","changes",6,"0.32333126161216796%","csf",12,"0.34167355355914025%","1",19,"0.35347403301258723%","adults",20,"0.09650870352428258%","double-blind",8,"0.2844020849047471%","randomized",16,"0.36194456881079823%","allow",7,"0.16769352172077884%"
"impairment",4,"0.4755434782608695%","factors",10,"0.19430160925011933%","bayesian",1,"0.423728813559322%","subcutaneously",1,"0.704225352112676%","after",8,"0.1499597661810626%","prevention",6,"0.14947683109118087%","subjects",6,"0.23051064966853746%","critical",12,"0.14995753863386047%","assessment",19,"0.35265014405967043%","home",19,"0.10669272632547962%","days",8,"0.1432413555446116%","program",16,"0.2794896929242023%","it",7,"0.2276782064821164%"
"change",4,"0.5434782608695652%","more",10,"0.3770273031733973%","design",1,"0.423728813559322%","intravenously",1,"0.704225352112676%","changes",8,"0.4771996584042612%","two",6,"0.41151968944865686%","results",6,"0.2255639097744361%","aim",12,"0.15910235050903382%","caregivers",19,"0.20216143313452817%","from",18,"0.16432439031072854%","other",8,"0.15124822447477865%","risk",16,"0.3698089508559492%","through",7,"0.16769352172077884%"
"which",4,"0.4076086956521739%","participants",10,"0.4517642788623577%","adaptive",1,"0.423728813559322%","4",1,"0.704225352112676%","protein",8,"0.18437272745636718%","assessments",6,"0.3411971144472607%","developing",6,"0.23695602642971064%","3",11,"0.23566242035895882%","levetiracetam",19,"0.12843044477490875%","testing",18,"0.17109031433070546%","studies",8,"0.27897487964737994%","cp",16,"0.05497148354291212%","sham",7,"0.07990867579908675%"
"positron",4,"0.5434782608695652%","after",10,"0.417625518918742%","across",1,"0.423728813559322%","at",1,"0.704225352112676%","may",8,"0.2280084046187984%","clinical",6,"0.43214897419677684%","cognitively",6,"0.22478877606387102%","amyloid",11,"0.25908852813479516%","test",18,"0.16936827323027906%","health",18,"0.15083153773902375%","biomarkers",8,"0.18088918516296207%","our",16,"0.07819725995786794%","phase",7,"0.24993284985226966%"
"emission",4,"0.5434782608695652%","2",10,"0.1490757304710793%","placebo",1,"0.423728813559322%","least",1,"0.704225352112676%","clinical",7,"0.36951724117507445%","mri",5,"0.23206955231343707%","intervention",6,"0.2847733400440261%","1",11,"0.26663622309010415%","people",18,"0.16411811263707807%","12",18,"0.22036472377979832%","part",8,"0.3319047156306344%","family",15,"0.1296555922213599%","benefit",7,"0.10990101817975553%"
"using",4,"0.4076086956521739%","year",10,"0.19383402854568973%","active",1,"0.423728813559322%","260",1,"0.704225352112676%","12",7,"0.1287195205951233%","intervention",5,"0.12747537209083734%","has",5,"0.26651035303103904%","their",11,"0.23954572187872003%","placebo",17,"0.31243058376732286%","older",18,"0.08202491441516965%","scale",8,"0.2503052503052503%","feasibility",15,"0.19965950673365473%","educational",7,"0.2876628912434539%"
"from",4,"0.4076086956521739%","their",10,"0.1490757304710793%","arms",1,"0.423728813559322%","cohort",1,"0.704225352112676%","optimal",7,"0.04595588235294118%","brain",5,"0.4358959002423071%","csf",5,"0.22072379332978867%","been",11,"0.1845264139150001%","after",17,"0.22442570894965572%","memory",17,"0.23941897297166698%","efficacy",7,"0.2854864818699974%","from",15,"0.19293945152640304%","questionnaire",7,"0.27450980392156865%"
"time",4,"0.4076086956521739%","pattern",9,"0.13837638376383765%","determine",1,"0.423728813559322%","non-mutation",1,"0.704225352112676%","first",7,"0.07354376176700189%","imaging",5,"0.6691044408335222%","been",5,"0.24830076656487363%","who",11,"0.208219090479801%","baseline",17,"0.13917050098246483%","use",17,"0.13675189832996598%","receive",7,"0.14950281426846695%","activity",15,"0.2666661360859742%","pilot",7,"0.3464864206552186%"
"1",4,"0.2717391304347826%","subjects",9,"0.13790880305940806%","efficacy",1,"0.423728813559322%","carriers",1,"0.704225352112676%","not",7,"0.29862822983283266%","analysis",5,"0.23206955231343707%","undergo",5,"0.25869323368324965%","survivors",11,"0.11185106793505271%","not",17,"0.17150828718643837%","subjects",17,"0.12279944975290544%","months",7,"0.16433288974791635%","caregiving",15,"0.06323133754600324%","each",6,"0.32225689791545165%"
"these",4,"0.2717391304347826%","within",9,"0.1365060609461193%","explore",1,"0.423728813559322%","also",1,"0.704225352112676%","whether",7,"0.267396321509373%","i",5,"0.13038671827235726%","up",5,"0.2236139640337958%","epilepsy",11,"0.24864376130198915%","patient",17,"0.0974319828762241%","biomarkers",17,"0.20289881711199204%","csf",7,"0.16625804817312176%","ad",14,"0.5078467238304754%","information",6,"0.15408581538630936%"
"can",4,"0.2717391304347826%","without",9,"0.3146040918357019%","composite",1,"0.423728813559322%","enrolled",1,"0.704225352112676%","followed",7,"0.08959155951537241%","placebo",5,"0.1689636293259725%","impairment",5,"0.2665163770577491%","intervention",10,"0.16154103073449705%","weeks",16,"0.2867492355579883%","1",17,"0.16163975504649802%","that",7,"0.16545372236689315%","related",14,"0.10123733251335966%","first",6,"0.18407815776697817%"
"4",4,"0.2717391304347826%","such",9,"0.13790880305940806%","score",1,"0.423728813559322%","dosed",1,"0.704225352112676%","subjects",7,"0.42662980546549334%","by",5,"0.13038671827235726%","healthy",5,"0.3359961137798888%","family",10,"0.2073512331761973%","older",16,"0.2594074745261371%","years",17,"0.18118213397691826%","feasibility",7,"0.23029103786484692%","data",14,"0.1562672441462895%","university",6,"0.3283642224012893%"
"undergo",4,"0.2717391304347826%","cortical",9,"0.1360384802416897%","adcoms",1,"0.423728813559322%","solely",1,"0.704225352112676%","stage",7,"0.07354376176700189%","studies",5,"0.22624685995039717%","cognition",5,"0.2794587611341538%","related",10,"0.1739496265529061%","quality",16,"0.1562147804044547%","caregivers",17,"0.11762004552021237%","e",7,"0.3199171207838089%","who",14,"0.21351607546195947%","after",6,"0.12409347300564062%"
