"1988","Num studies:1","","1994","Num studies:1","","1995","Num studies:6","","1996","Num studies:3","","1997","Num studies:3","","1998","Num studies:4","","1999","Num studies:11","","2000","Num studies:20","","2001","Num studies:18","","2002","Num studies:18","","2003","Num studies:39","","2004","Num studies:45","","2005","Num studies:42","","2006","Num studies:54","","2007","Num studies:92","","2008","Num studies:86","","2009","Num studies:111","","2010","Num studies:87","","2011","Num studies:85","","2012","Num studies:90","","2013","Num studies:85","","2014","Num studies:83","","2015","Num studies:100","","2016","Num studies:93","","2017","Num studies:73","","2018","Num studies:87","","2019","Num studies:72","","2020","Num studies:40","","2021","Num studies:38","","2022","Num studies:6","","No Start Date","Num studies:19",""
"in",5,"1.7921146953405018%","alzheimer",8,"1.4705882352941178%","this",24,"1.5704330414008432%","reach",11,"0.632183908045977%","a",18,"1.6812287659815528%","mg",14,"0.7600158534338872%","with",36,"1.0687266368249821%","is",56,"1.975585804155423%","study",85,"1.576358761441034%","ad",63,"1.0951648787375816%","is",112,"1.6437844252049252%","study",129,"1.7724344883199838%","study",104,"1.70781295911103%","will",135,"1.0526702293746861%","study",212,"1.9122723453261197%","is",201,"1.9552306639335222%","will",259,"1.1117101960486018%","is",186,"1.8383486542747363%","study",190,"1.651532790392784%","is",261,"1.5591567783269922%","be",276,"0.68133499292807%","is",240,"1.4446195133833084%","for",362,"1.1138684943358113%","with",247,"1.4724306191050958%","with",261,"1.524735916640291%","study",326,"1.6998666317373772%","for",230,"0.928772989714623%","study",126,"1.4898652500673237%","for",101,"0.7824579635844722%","be",26,"1.8831591941420467%","with",78,"1.4326503722665405%"
"to",5,"1.7921146953405018%","normal",8,"1.4705882352941178%","study",24,"1.1934618435942503%","a",10,"0.810462115880835%","for",16,"1.308300102437789%","disease",13,"2.598429306294898%","for",33,"1.6603963268311608%","study",51,"1.5955089439238215%","patients",72,"1.4094490217042628%","is",62,"2.40555024489184%","for",98,"0.7568596194435007%","for",113,"1.2050171352478989%","be",103,"0.8937958626620605%","study",125,"1.6776932359246048%","be",194,"0.7183824153645446%","for",153,"0.807839224055204%","for",237,"0.8549672549198596%","be",178,"0.8234648546686942%","be",179,"0.7525910848054306%","be",258,"0.8989081869316778%","for",272,"0.9515573845567337%","for",219,"1.033215217078115%","study",307,"1.6732881142543792%","study",230,"1.6449152256223167%","for",234,"1.0588758307454051%","be",287,"0.9562640008765504%","study",226,"1.7307721733833972%","is",120,"1.5291930098625357%","is",94,"1.182313374295386%","trial",25,"0.4828162099078434%","be",72,"1.1182165531876191%"
"blood",5,"1.7921146953405018%","volunteers",8,"1.4705882352941178%","ad",24,"0.64%","will",10,"1.74850138075032%","with",16,"1.185592983200575%","with",12,"1.8987906174465925%","this",28,"1.8196754231531236%","this",50,"1.4999800736881674%","be",72,"1.2299575679677248%","for",55,"1.5010335371091896%","disease",97,"1.2699736530125598%","patients",104,"1.1389999236228383%","for",93,"0.984529666359852%","be",112,"0.7305916631169628%","for",175,"0.7015195547691886%","be",138,"0.7561914821077734%","ad",216,"0.7983635171696829%","disease",156,"1.263245317373481%","disease",177,"1.3741563951573954%","for",253,"1.1105490028779457%","study",244,"1.5631850114265653%","be",206,"0.7996090657398582%","is",290,"1.434563545369881%","is",226,"1.4740212674872892%","study",213,"1.5969284256394394%","for",285,"1.170413477656189%","be",203,"0.9335929948080651%","for",113,"0.9337952704166916%","study",93,"1.5661203332535132%","is",21,"0.6652513400567924%","patients",55,"1.0228321446138033%"
"neurological",4,"1.4336917562724014%","11c",7,"1.286764705882353%","will",20,"1.1242744656917887%","treatment",10,"1.9375213383407306%","alzheimer",16,"1.0647454493289554%","will",11,"1.3374044711092066%","ad",28,"0.7693594151657276%","for",45,"0.8700513564618596%","for",69,"1.2485439097149083%","be",55,"0.8282084983311278%","be",97,"1.055770870699451%","be",103,"0.8717645162896062%","this",89,"1.3643374940562623%","patients",101,"1.3680953313323232%","patients",165,"1.1925227275813624%","this",122,"1.4445890105340928%","this",193,"1.5180645571545073%","this",156,"1.5408335931128878%","for",176,"0.8544509368714089%","this",205,"1.286773238982107%","ad",221,"0.8744199203744442%","this",167,"1.32488399309258%","this",215,"1.2191167108058951%","this",164,"1.2110580980963692%","this",167,"1.336599552473213%","this",217,"1.2350339339996428%","this",192,"1.2099142445556739%","this",70,"1.145020393592619%","this",84,"0.8872075923303482%","study",20,"1.4267179307888178%","disease",51,"1.0849307733631606%"
"this",4,"1.4336917562724014%","phospholipids",6,"1.1029411764705883%","for",18,"0.9115057035767472%","with",9,"1.5706760683105607%","daily",15,"0.9991286514286929%","for",11,"0.6683283000541473%","patients",28,"0.8139779317483407%","disease",43,"1.1391373386402206%","disease",57,"1.1491665533677882%","disease",49,"1.4347103328211563%","this",79,"1.4394389232403577%","this",89,"1.233959670384229%","ad",83,"1.0016028097314607%","alzheimer",99,"1.392438580387602%","this",157,"1.3242702267048956%","disease",117,"1.4881174989614905%","be",184,"0.603444397138043%","alzheimer",146,"1.1926832935485718%","alzheimer",158,"1.2837457313733172%","disease",153,"1.126908302317265%","this",196,"1.0932551595408457%","ad",157,"0.7710935511404405%","ad",199,"0.882476660155797%","disease",136,"1.153199747911499%","disease",153,"1.2329110141456066%","or",165,"0.6629293406271606%","cognitive",152,"0.6873789768199227%","dementia",66,"0.9667578404200755%","on",81,"1.0223142096409445%","this",19,"0.7428161641124259%","study",51,"0.9522429051564075%"
"condition",3,"1.075268817204301%","be",6,"1.1029411764705883%","dementia",18,"0.709710308557799%","by",8,"0.8526859019469857%","dose",13,"0.8585971288001956%","patients",11,"0.6487906174465924%","is",27,"0.9032997415459868%","dementia",42,"1.132207096220561%","or",56,"0.8171321358823954%","this",49,"1.3295158090166688%","patients",76,"1.3761212810319892%","ad",86,"1.092086426659485%","that",81,"0.7855071613347956%","this",96,"1.0508855402590485%","ad",140,"0.6064966229784737%","ad",111,"0.7955063019715314%","disease",165,"1.1352861035892319%","for",144,"0.7870498878171751%","patients",149,"0.9866776338383749%","ad",153,"0.7754228319225412%","as",193,"0.6252871414957903%","patients",139,"0.8139571439917708%","on",185,"0.578519510335389%","at",127,"0.4179677429998118%","ad",141,"0.7362874412483295%","that",156,"0.5095710509135581%","on",135,"0.5684468829848536%","as",65,"0.5490854822037876%","by",68,"0.43997603258138723%","for",19,"0.48507979845480415%","alzheimer",48,"1.0500301642719696%"
"patients",3,"1.075268817204301%","arachidonate",6,"1.1029411764705883%","mg",17,"0.6160299456388842%","sites",8,"0.5383532723434201%","or",13,"0.8641758848969788%","twice",10,"0.5596150518306808%","alzheimer",25,"1.3465116046717627%","alzheimer",34,"1.263229477874125%","alzheimer",55,"1.132043296343807%","alzheimer",39,"1.5321108976503852%","alzheimer",74,"1.2213391910055347%","disease",79,"1.1628449934650469%","disease",66,"1.4846175349652768%","disease",89,"1.3939310443788002%","disease",127,"1.1735714841340879%","patients",109,"1.140275049106647%","patients",160,"0.8533636565696586%","patients",136,"1.1689193837950138%","ad",140,"0.6918963550923162%","patients",148,"0.779492908430546%","disease",191,"1.180119297996135%","as",131,"0.7385611216354704%","or",184,"0.5641350630659766%","on",127,"0.5407584856150591%","or",138,"0.5919781733279255%","on",154,"0.568645280669954%","patients",135,"0.7361175701258196%","that",59,"0.476856793795512%","as",62,"0.4853838335461445%","that",18,"0.571790504089211%","or",44,"0.7862609431945508%"
"with",3,"1.075268817204301%","rcbf",6,"1.1029411764705883%","that",17,"0.8747834272710914%","patients",8,"1.476392537212905%","treatment",12,"0.7985590869967165%","daily",10,"0.5596150518306808%","on",23,"1.1852224260954536%","on",28,"0.45382051207418633%","this",51,"0.9655798892969162%","that",37,"0.5837755311288437%","ad",61,"0.5895506170808829%","alzheimer",75,"1.224424703260761%","at",64,"0.4812056876244941%","care",87,"0.21987973099294264%","alzheimer",112,"1.1037201892206918%","alzheimer",108,"1.5436112644708508%","alzheimer",143,"1.1056310899200679%","cognitive",105,"0.49372716965472546%","this",137,"1.2585746889188494%","alzheimer",144,"1.1238305180908874%","that",181,"0.5957953522649773%","on",129,"0.6166457491066551%","as",175,"0.5870765820596724%","patients",121,"0.761076981880298%","by",133,"0.5952549951271626%","disease",153,"0.7972530013171193%","that",133,"0.5264474000275362%","1",59,"0.3929937118453541%","dementia",62,"0.7226008997320964%","or",18,"0.6033944187614563%","that",43,"0.7436326474268047%"
"from",3,"1.075268817204301%","metabolism",5,"0.9191176470588235%","treatment",17,"0.9384141582017372%","for",7,"0.6380483227773869%","patients",12,"0.7966995016311221%","alzheimer",9,"2.319877774261472%","disease",20,"1.2115868046212002%","care",26,"0.3550357633572174%","that",49,"0.7383571705066294%","or",35,"0.5403328623919335%","by",56,"0.43791226729176713%","treatment",69,"0.7140523315179247%","treatment",62,"0.592389260981666%","or",79,"0.4081232427513458%","that",110,"0.4118280408024894%","subjects",90,"1.0036208042479653%","subjects",130,"0.8600278169327764%","on",103,"0.4967956914890602%","or",123,"0.5311196631836809%","subjects",139,"0.7518245761943335%","on",172,"0.7264014977108335%","that",118,"0.5147040116831646%","at",167,"0.5077118287239142%","by",117,"0.4376693236723911%","that",128,"0.452914401254824%","cognitive",152,"0.6118074065566257%","as",132,"0.5277000055449903%","alzheimer",57,"0.6746853941613553%","care",52,"0.480341707128038%","medical",18,"0.29880478087649404%","mg",41,"0.712254952545064%"
"that",3,"1.075268817204301%","regional",5,"0.9191176470588235%","disease",16,"0.8466893425360001%","alzheimer",7,"0.7166314801782782%","this",11,"1.3408991291857406%","treatment",9,"1.1395156572698286%","or",16,"0.4343002313343469%","at",25,"0.6324187706964596%","treatment",47,"0.8473203442566604%","patients",31,"1.0863766468038396%","cognitive",51,"0.5967305151999481%","or",67,"0.5592501976137986%","patients",61,"1.0231453059622055%","that",76,"0.49215692811419415%","treatment",97,"0.5879010838148847%","that",81,"0.4170856102382684%","as",129,"0.5128313045266613%","ad",102,"0.750970486192549%","that",116,"0.5274485383514074%","or",138,"0.6793103206009897%","alzheimer",161,"1.1456996975098275%","or",106,"0.5187245872333058%","that",164,"0.45154720458495695%","cognitive",117,"0.634371596126932%","dementia",121,"0.45975726522429544%","alzheimer",147,"0.8138743602218974%","ad",126,"0.6924970414467857%","caregivers",54,"0.7094793228157023%","alzheimer",51,"0.8656784254366636%","cognitive",18,"0.4134676229054362%","by",41,"0.4793362206110232%"
"be",3,"1.075268817204301%","patients",5,"0.9191176470588235%","be",16,"0.9332343512926805%","be",7,"1.146359533912575%","mg",11,"0.7310827037308595%","placebo",9,"0.5290525340374341%","are",15,"0.4470002647776783%","patients",24,"0.7086347274439235%","an",41,"0.6652971242175574%","are",26,"0.6754095036178712%","or",50,"0.5140231373128157%","on",60,"0.7105794970367685%","alzheimer",56,"1.3895809037535054%","at",72,"0.389849785150401%","as",97,"0.3359629681869378%","brain",79,"0.40773523073928536%","are",127,"0.355186359667935%","or",94,"0.6452254668808719%","on",113,"0.6004142692370089%","on",131,"0.5117181094154565%","at",146,"0.47207583363145794%","disease",105,"0.920235038431789%","disease",159,"0.945224658965747%","ad",117,"0.7205687259041362%","on",119,"0.4675122683782919%","as",145,"0.5931026510403727%","dementia",119,"0.5118953221008923%","disease",52,"0.6401826910164617%","their",50,"0.5182762514699666%","on",16,"1.0271886249896733%","this",36,"0.7009972582302579%"
"many",3,"1.075268817204301%","will",5,"0.9191176470588235%","was",13,"0.5471380471380471%","different",7,"0.48088200797560404%","twice",11,"0.732942289096454%","double-blind",8,"0.45941465102907764%","donepezil",15,"0.4144174911375396%","participants",22,"0.5437137501114542%","galantamine",40,"0.6882047009364174%","brain",25,"0.587895373053199%","participants",48,"0.3227365813358696%","that",59,"0.4140771925694759%","are",55,"0.4630625665843282%","on",70,"0.5221381714266814%","or",87,"0.48489486200938997%","or",79,"0.5293055216746044%","by",126,"0.32720924532863127%","at",73,"0.5244881169194766%","cognitive",93,"0.6118109097221975%","cognitive",128,"0.7685836066898069%","by",142,"0.4145726485154308%","dementia",96,"0.5355992475247529%","by",155,"0.37142936361639434%","intervention",116,"0.25021286912340673%","cognitive",118,"0.45990008209076805%","ad",137,"0.6036047170982314%","by",118,"0.46925777300969096%","investigators",52,"0.2457534780309487%","disease",48,"0.8533910067687378%","impairment",16,"0.3350104360058503%","on",35,"0.5533958951224629%"
"techniques",3,"1.075268817204301%","for",4,"0.7352941176470589%","alzheimer",13,"0.7666893425360003%","at",7,"1.026005485840632%","placebo",10,"0.6654659058305971%","risperidone",8,"0.40080160320641284%","that",14,"0.382980165773651%","brain",22,"0.4311225957363131%","ad",39,"0.5759453991948726%","treatment",24,"0.6994368813774069%","on",48,"0.46896500398027174%","weeks",47,"0.6325117390815139%","on",53,"0.6941121659521916%","ad",70,"0.5693911639036059%","brain",84,"0.3238609395289063%","are",75,"0.39171796484363663%","or",124,"0.5171343028428029%","treatment",66,"0.41894467336460756%","as",91,"0.5490238905927072%","at",127,"0.4149794458486045%","patients",137,"0.8275409341169283%","by",93,"0.48325379076197317%","alzheimer",135,"0.8295400057576567%","as",112,"0.5785572731560882%","alzheimer",117,"1.0961448858687026%","by",131,"0.3828162582777465%","or",108,"0.4646062803980159%","2",52,"0.30022043748594684%","that",46,"0.37669898051480155%","images",15,"0.24900398406374502%","are",35,"0.5246032402467421%"
"study",3,"1.075268817204301%","these",4,"0.7352941176470589%","as",13,"0.6253143837893337%","as",7,"0.40229885057471265%","score",9,"0.5979895225647401%","be",7,"1.0393152564682253%","treatment",14,"0.3937118441279858%","that",22,"0.4369935469407749%","are",35,"0.5356713753041913%","by",22,"0.3351754423038231%","dementia",48,"0.5031182529940877%","cognitive",46,"0.5909254861776069%","or",50,"0.3747810178986567%","dementia",64,"0.3746766897212022%","subjects",82,"0.8404909973305452%","cognitive",75,"0.49991173866115546%","on",120,"0.6637306616826304%","by",64,"0.33644071321166225%","are",89,"0.34532140251852783%","by",119,"0.36696668254701253%","are",137,"0.46482906346531%","participants",91,"0.4259407528442281%","patients",134,"0.7222360421797878%","that",112,"0.39727259615736527%","as",114,"0.48945336994464567%","patients",129,"0.5897443400219152%","disease",103,"0.7242369646460144%","or",52,"0.3519667605636398%","music",46,"0.07580415526000182%","information",15,"0.24900398406374502%","daily",33,"0.5261216022505066%"
"pedigree",3,"1.075268817204301%","as",4,"0.7352941176470589%","placebo",12,"0.46227424763033786%","were",7,"0.6748605895072265%","effectiveness",8,"0.5323727246644777%","galantamine",7,"0.48746518105849584%","at",14,"0.3738083759486555%","treatment",21,"0.8770624891915038%","at",31,"0.6112140602753947%","may",22,"0.35392522365936296%","as",47,"0.4457349200024925%","at",44,"0.3912575264685664%","as",49,"0.5472184065470135%","by",58,"0.35218474541177%","an",80,"0.5363775633402821%","on",74,"0.4901742214807647%","that",116,"0.3589452515800336%","an",63,"0.3380808017288885%","insulin",85,"0.15496577384088264%","that",118,"0.43097629949881466%","treatment",130,"0.5560527415285981%","alzheimer",90,"0.9202115316828168%","dementia",131,"0.40597597320909784%","alzheimer",108,"1.0375201857474712%","intervention",113,"0.3659525528399051%","participants",125,"0.41302545739841545%","alzheimer",100,"0.667626379120884%","are",51,"0.4171481346163156%","an",44,"0.3464600806773436%","-",14,"0.23240371845949537%","treatment",32,"0.6101515104381348%"
"information",3,"1.075268817204301%","blood",4,"0.7352941176470589%","at",12,"0.5651754619211621%","receptors",6,"0.8163265306122449%","dementia",8,"0.5323727246644777%","or",7,"0.44838981584338594%","dementia",14,"0.5833444961046307%","or",21,"0.43555870137688535%","care",31,"0.4528815401118976%","memory",20,"0.6152568904406945%","that",43,"0.43365880184831196%","are",43,"0.40329217965557435%","caregivers",46,"0.23707610242263616%","treatment",58,"0.3929108746403979%","are",80,"0.2834466797250806%","at",70,"0.31183828722255924%","cognitive",112,"0.41608276294631136%","are",63,"0.2965879717883235%","brain",82,"0.4096949648200049%","are",114,"0.3868521156313602%","subjects",127,"0.5547052498424724%","treatment",87,"0.6518714181113573%","participants",128,"0.40857999922424%","participants",107,"0.4970154299450145%","participants",106,"0.5347079793126428%","brain",113,"0.3981893730656548%","intervention",99,"0.39354717088482416%","cognitive",50,"0.4885125049773384%","intervention",44,"0.3371486160176587%","mild",14,"0.2565532491062644%","at",29,"0.5549623549206653%"
"diseases",3,"1.075268817204301%","flow",4,"0.7352941176470589%","clinical",12,"0.5178049161751724%","disease",6,"0.6591602158104621%","that",8,"0.6532202585360972%","effectiveness",7,"0.42885213323583105%","placebo",13,"0.30783556009164365%","may",20,"0.540197397464351%","dementia",30,"0.5603151415535179%","from",20,"0.5091805986444896%","are",40,"0.40583732946653683%","as",43,"0.2989640200665955%","by",41,"0.36781876785499373%","an",53,"0.6661844262134671%","at",70,"0.33040517875933634%","as",62,"0.30911775139228365%","brain",95,"0.33336225560945437%","that",62,"0.3105306600322518%","an",72,"0.3626284766298672%","as",109,"0.3685647357681096%","cognitive",124,"0.6531725588679187%","are",81,"0.3196644717159356%","have",126,"0.3342002004369436%","care",98,"0.19796901406743958%","patients",103,"0.5351394781497116%","dementia",112,"0.40923072998907833%","are",92,"0.5096957427291188%","by",49,"0.3660612907814814%","participants",42,"0.2718181233145998%","disease",13,"0.4080311189398213%","placebo",29,"0.5670900226973096%"
